StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2018-02-21,96,10.957,26.4,20.31,0.0
130,2018-02-21,96,9.901,27.81,18.0,0.0
140,2018-02-21,96,10.665,31.25,17.97,0.0
150,2018-02-21,96,8.547,29.23,17.83,0.0
160,2018-02-21,96,10.522,27.54,16.22,0.0
170,2018-02-21,96,11.591,25.28,16.51,0.0
180,2018-02-21,96,9.489,28.98,16.56,0.0
230,2018-02-21,96,12.076,30.4,18.73,0.0
240,2018-02-21,96,10.152,28.94,18.93,0.0
250,2018-02-21,96,13.52,32.43,19.41,0.0
260,2018-02-21,96,11.917,29.84,19.55,0.0
270,2018-02-21,96,15.987,29.20,18.822,0.000
280,2018-02-21,96,12.103,31.09,20.76,0.0
290,2018-02-21,96,12.767,30.51,18.49,0.0
302,2018-02-21,96,14.692,29.2,18.82,0.0
303,2018-02-21,96,14.408,31.57,21.07,0.0
304,2018-02-21,96,13.842,31.98,20.8,0.0
310,2018-02-21,0,13.386011161,31.2331783884,20.8258717718,0.0
320,2018-02-21,96,9.511,30.79,18.2,0.0
330,2018-02-21,96,15.107,30.34,19.3,0.0
340,2018-02-21,96,16.005,30.37,20.86,0.76
350,2018-02-21,96,15.19,30.97,20.04,0.0
360,2018-02-21,96,13.4,30.89,20.53,0.0
380,2018-02-21,96,13.701,30.97,20.13,0.0
390,2018-02-21,96,16.507,30.60,18.972,0.000
405,2018-02-21,96,15.333,27.87,15.34,0.0
410,2018-02-21,96,13.901,30.11,19.62,0.0
420,2018-02-21,96,13.712,31.87,19.93,0.0
430,2018-02-21,0,15.0458994621,29.5236150098,18.7516759985,0.257783707436
440,2018-02-21,96,14.888,28.86,19.22,0.0
450,2018-02-21,96,16.682,29.63,17.55,0.0
460,2018-02-21,96,14.818,30.6,18.97,0.0
470,2018-02-21,96,15.16,29.4,21.1,0.0
480,2018-02-21,96,12.675,28.9,18.2,0.0
490,2018-02-21,96,15.465,27.72,23.12,0.0
