StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-07-06,96,8.041,29.24,22.74,62.23
130,2009-07-06,96,3.978,26.59,22.49,46.0
140,2009-07-06,96,5.233,25.4,22.05,15.16
150,2009-07-06,96,5.951,27.98,24.14,5.66
160,2009-07-06,96,8.092,28.83,22.23,4.83
170,2009-07-06,96,10.999,29.49,22.88,4.47
180,2009-07-06,96,11.044,31.27,23.289,4.826
230,2009-07-06,96,10.752,32.45,22.66,18.49
240,2009-07-06,96,10.505,30.62,22.45,17.12
250,2009-07-06,96,9.123,31.16,23.72,4.37
260,2009-07-06,96,10.299,30.14,23.85,12.57
270,2009-07-06,96,11.062,31.45,23.2,14.78
280,2009-07-06,96,11.031,32.09,24.1,2.06
290,2009-07-06,96,10.466,32.28,22.55,18.03
302,2009-07-06,96,13.151,34.42,23.56,2.39
303,2009-07-06,96,16.599,32.6,24.24,0.0
304,2009-07-06,95,17.246,33.83,23.56,2.64
310,2009-07-06,96,13.138,32.87,22.3,4.32
320,2009-07-06,96,17.104,32.68,25.1,0.46
330,2009-07-06,96,19.124,32.91,24.83,0.0
340,2009-07-06,96,23.06,33.5,22.21,0.23
350,2009-07-06,96,20.949,33.21,24.31,0.0
360,2009-07-06,95,18.761,32.15,24.06,15.54
380,2009-07-06,96,22.144,32.19,22.58,0.0
390,2009-07-06,96,23.249,33.8,23.96,0.0
405,2009-07-06,96,24.452,33.73,24.44,0.0
410,2009-07-06,96,23.631,32.84,23.32,0.23
420,2009-07-06,96,25.987,34.89,24.56,0.0
430,2009-07-06,96,27.74,33.12,24.03,0.0
440,2009-07-06,96,23.859,33.17,22.85,0.0
450,2009-07-06,96,28.251,34.34,22.9,0.0
460,2009-07-06,96,26.492,34.17,22.94,0.0
470,2009-07-06,96,22.183,33.69,23.91,0.0
480,2009-07-06,96,22.753,31.99,22.43,0.0
490,2009-07-06,96,23.318,33.46,23.43,0.0
