StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2013-09-10,63,31.552,33.09,21.878,0.000
130,2013-09-10,93,20.024,32.86,20.98,0.0
140,2013-09-10,93,19.288,31.73,19.289,0.000
150,2013-09-10,93,19.39,33.21,21.27,0.0
160,2013-09-10,93,15.245,31.73,19.29,0.0
170,2013-09-10,92,20.097,31.83,22.55,0.0
180,2013-09-10,93,19.735,31.67,19.328,0.000
230,2013-09-10,95,7.313,33.87,19.500,0.000
240,2013-09-10,93,19.705,31.67,19.33,0.0
250,2013-09-10,95,7.843,33.87,19.5,0.0
260,2013-09-10,91,18.776,31.53,18.228,0.000
270,2013-09-10,95,22.195,30.23,19.611,0.000
280,2013-09-10,93,23.346,32.2,19.47,0.0
290,2013-09-10,91,20.626,31.53,18.23,0.0
302,2013-09-10,95,21.604,30.23,19.61,0.0
303,2013-09-10,94,12.205,34.53,20.15,0.51
304,2013-09-10,93,22.218,33.29,22.000,0.000
310,2013-09-10,0,18.4693599634,33.2170406028,20.404380069,0.208179839609
320,2013-09-10,93,21.914,32.95,22.111,0.508
330,2013-09-10,93,23.189,31.91,22.789,0.254
340,2013-09-10,93,22.837,31.18,21.022,0.508
350,2013-09-10,93,22.212,33.29,22.0,0.0
360,2013-09-10,90,20.094,33.51,22.111,0.000
380,2013-09-10,93,23.101,32.95,22.11,0.51
390,2013-09-10,93,21.87,31.91,22.79,0.23
405,2013-09-10,93,21.205,31.18,21.02,0.46
410,2013-09-10,93,20.762,32.46,21.61,0.0
420,2013-09-10,93,20.392,31.08,23.389,0.508
430,2013-09-10,93,19.087,30.92,22.600,5.334
440,2013-09-10,94,18.133,32.78,22.661,0.000
450,2013-09-10,96,21.697,32.24,23.061,0.000
460,2013-09-10,89,21.488,33.29,23.028,1.016
470,2013-09-10,93,24.178,31.36,22.15,20.07
480,2013-09-10,93,19.182,31.08,23.39,0.46
490,2013-09-10,93,19.881,30.37,22.46,6.83
