StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2013-08-14,96,17.353,31.05,22.04,0.0
130,2013-08-14,96,15.747,34.24,22.26,5.08
140,2013-08-14,96,15.690,32.15,22.178,11.430
150,2013-08-14,96,11.304,33.22,22.94,0.0
160,2013-08-14,96,12.192,32.15,22.18,11.43
170,2013-08-14,96,19.473,31.95,24.3,15.49
180,2013-08-14,96,19.95,34.05,21.79,9.4
230,2013-08-14,96,23.227,36.11,22.89,0.0
240,2013-08-14,96,21.439,35.45,22.48,0.51
250,2013-08-14,96,12.576,37.99,22.24,0.0
260,2013-08-14,96,21.554,35.00,22.511,0.000
270,2013-08-14,96,23.411,36.06,22.928,0.508
280,2013-08-14,96,19.516,35.27,23.89,0.0
290,2013-08-14,96,21.103,35.0,22.51,0.0
302,2013-08-14,96,24.779,36.06,22.93,0.51
303,2013-08-14,96,9.588,34.08,22.36,0.0
304,2013-08-14,96,23.031,37.37,24.13,0.0
310,2013-08-14,0,15.7939461535,34.5468469387,22.9251870013,0.182006745059
320,2013-08-14,96,17.775,34.91,21.61,24.89
330,2013-08-14,96,23.886,36.98,23.55,0.0
340,2013-08-14,96,20.705,35.26,22.84,11.35
350,2013-08-14,96,19.443,34.98,22.58,5.08
360,2013-08-14,96,20.769,34.37,22.6,0.69
380,2013-08-14,96,25.748,34.53,22.51,1.6
390,2013-08-14,96,26.809,36.53,23.86,0.0
405,2013-08-14,96,23.498,34.7,22.36,0.0
410,2013-08-14,96,21.541,33.49,22.38,0.0
420,2013-08-14,96,26.746,33.13,23.889,0.000
430,2013-08-14,96,18.826,34.6,22.61,0.0
440,2013-08-14,96,24.568,34.24,23.1,0.23
450,2013-08-14,96,23.898,36.51,23.45,2.54
460,2013-08-14,96,18.975,34.49,21.97,0.0
470,2013-08-14,96,22.669,33.88,21.26,0.0
480,2013-08-14,96,25.535,33.13,23.89,0.0
490,2013-08-14,96,20.813,35.14,23.0,0.0
