StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2011-01-26,96,4.738,12.51,-0.08,0.0
130,2011-01-26,96,2.656,15.37,1.08,0.23
140,2011-01-26,96,1.684,16.52,3.5,0.0
150,2011-01-26,96,1.001,17.0,2.73,0.0
160,2011-01-26,96,0.951,15.6,2.08,0.0
170,2011-01-26,96,0.99,15.43,3.45,0.0
180,2011-01-26,96,1.404,17.36,2.93,0.23
230,2011-01-26,96,3.368,18.77,5.0,0.46
240,2011-01-26,96,3.161,18.16,5.99,0.23
250,2011-01-26,96,4.057,18.52,5.41,0.25
260,2011-01-26,96,1.744,17.11,2.18,0.23
270,2011-01-26,96,4.698,18.29,7.86,0.23
280,2011-01-26,96,6.679,20.73,6.06,0.46
290,2011-01-26,96,6.742,19.64,6.28,0.25
302,2011-01-26,96,7.053,20.19,8.12,0.46
303,2011-01-26,96,7.439,19.01,6.53,0.46
304,2011-01-26,96,7.975,19.83,7.61,0.0
310,2011-01-26,96,6.207,18.04,4.34,1.14
320,2011-01-26,96,9.567,19.03,8.35,0.0
330,2011-01-26,96,8.597,19.05,7.44,0.46
340,2011-01-26,96,8.257,20.45,6.91,1.37
350,2011-01-26,96,9.433,18.36,4.99,0.46
360,2011-01-26,96,8.623,18.86,6.82,1.37
380,2011-01-26,96,6.79,21.54,7.04,2.06
390,2011-01-26,96,7.279,19.73,4.8,4.62
405,2011-01-26,96,10.273,21.21,6.71,3.23
410,2011-01-26,96,8.606,21.57,9.46,1.14
420,2011-01-26,96,8.899,22.21,11.55,2.74
430,2011-01-26,96,5.366,25.22,15.2,1.14
440,2011-01-26,96,7.450,24.28,15.261,13.208
450,2011-01-26,96,6.341,21.94,8.76,2.51
460,2011-01-26,96,8.173,21.35,8.39,0.46
470,2011-01-26,96,7.795,21.8,6.84,2.06
480,2011-01-26,96,6.622,20.97,9.03,2.51
490,2011-01-26,96,7.572,18.82,5.1,4.17
