StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2010-01-25,96,1.402,16.3,6.66,0.0
130,2010-01-25,96,2.731,16.47,8.82,0.0
140,2010-01-25,96,1.207,17.13,5.67,0.69
150,2010-01-25,96,2.921,18.37,6.0,0.0
160,2010-01-25,96,2.863,18.13,7.97,1.37
170,2010-01-25,96,7.569,20.88,8.11,22.07
180,2010-01-25,96,9.318,22.09,8.97,19.89
230,2010-01-25,96,8.736,24.19,5.81,10.67
240,2010-01-25,96,8.124,22.78,8.63,11.4
250,2010-01-25,96,8.365,22.97,0.0,7.32
260,2010-01-25,96,7.665,23.39,8.16,15.19
270,2010-01-25,96,7.498,22.39,9.8,9.22
280,2010-01-25,96,8.404,23.19,6.16,8.03
290,2010-01-25,96,7.389,22.36,6.02,7.01
302,2010-01-25,96,9.57,22.92,6.09,6.88
303,2010-01-25,96,10.878,23.72,6.91,6.22
304,2010-01-25,96,10.052,22.97,9.29,12.85
310,2010-01-25,96,9.323,24.42,4.18,8.33
320,2010-01-25,96,10.126,23.52,12.41,6.32
330,2010-01-25,96,7.736,22.66,9.34,8.92
340,2010-01-25,96,8.512,22.72,7.17,0.0
350,2010-01-25,96,10.149,23.37,7.21,23.7
360,2010-01-25,96,9.741,23.96,9.3,12.01
380,2010-01-25,96,8.483,23.9,6.96,12.5
390,2010-01-25,96,8.722,23.05,8.51,4.19
405,2010-01-25,96,8.548,24.48,8.14,13.11
410,2010-01-25,96,8.986,24.98,12.91,8.1
420,2010-01-25,96,6.597,26.85,14.83,2.31
430,2010-01-25,96,9.524,24.85,8.44,5.21
440,2010-01-25,96,7.805,26.94,11.25,4.47
450,2010-01-25,96,10.772,24.38,9.01,25.27
460,2010-01-25,96,8.585,24.55,6.79,4.06
470,2010-01-25,96,8.154,22.97,10.76,4.65
480,2010-01-25,96,11.66,23.49,9.06,10.52
490,2010-01-25,96,9.554,24.25,9.29,7.21
