StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-05-31,96,26.691,32.86,16.25,0.0
130,2009-05-31,96,29.693,33.95,16.95,0.0
140,2009-05-31,96,28.605,33.29,16.03,0.0
150,2009-05-31,96,24.497,32.84,18.57,0.0
160,2009-05-31,96,28.602,32.86,16.32,0.0
170,2009-05-31,96,25.826,33.4,15.49,0.0
180,2009-05-31,96,26.889,33.8,18.172,0.0
230,2009-05-31,96,24.193,34.09,17.49,0.0
240,2009-05-31,95,24.415,32.48,17.63,0.0
250,2009-05-31,96,24.604,34.63,17.43,0.0
260,2009-05-31,96,25.903,33.39,17.61,0.0
270,2009-05-31,96,26.46,30.08,19.65,0.0
280,2009-05-31,96,27.654,33.02,16.31,0.0
290,2009-05-31,96,24.153,31.16,16.21,0.0
302,2009-05-31,96,24.786,33.23,15.84,0.0
303,2009-05-31,96,27.496,33.11,15.3,0.0
304,2009-05-31,96,28.97,31.56,16.8,0.0
310,2009-05-31,96,23.161,31.03,14.18,0.0
320,2009-05-31,96,28.845,31.94,17.89,0.0
330,2009-05-31,96,28.117,33.02,18.96,0.0
340,2009-05-31,96,27.804,31.27,16.88,0.0
350,2009-05-31,96,24.147,31.05,17.17,0.0
360,2009-05-31,96,27.926,31.38,17.14,0.0
380,2009-05-31,96,27.519,30.98,16.7,0.0
390,2009-05-31,96,25.932,31.99,18.1,0.0
405,2009-05-31,96,21.322,30.25,21.49,0.0
410,2009-05-31,96,19.131,30.26,20.34,0.0
420,2009-05-31,96,12.408,29.66,22.07,0.0
430,2009-05-31,96,29.434,30.89,20.43,0.0
440,2009-05-31,96,17.784,31.5,20.43,22.81
450,2009-05-31,96,20.483,33.79,21.0,0.0
460,2009-05-31,96,24.982,33.3,19.55,0.0
470,2009-05-31,96,21.466,32.17,19.44,0.0
480,2009-05-31,96,25.782,31.03,16.63,0.0
490,2009-05-31,96,25.655,32.09,18.5,0.0
