StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2013-06-17,96,18.384,32.06,23.72,3.56
130,2013-06-17,96,20.868,33.01,23.150,3.048
140,2013-06-17,96,14.555,33.01,23.15,3.05
150,2013-06-17,96,15.442,33.27,20.81,0.0
160,2013-06-17,96,21.343,31.75,20.79,0.0
170,2013-06-17,96,23.172,32.37,0.0,0.25
180,2013-06-17,96,20.499,34.7,21.74,0.0
230,2013-06-17,96,22.538,34.62,22.33,0.0
240,2013-06-17,96,14.682,36.36,22.01,0.25
250,2013-06-17,96,16.196,34.8,23.16,0.0
260,2013-06-17,96,22.880,33.47,22.011,0.254
270,2013-06-17,96,15.909,34.53,23.01,0.25
280,2013-06-17,96,18.815,33.47,22.01,0.25
290,2013-06-17,96,18.01,34.56,23.06,9.14
302,2013-06-17,96,23.635,37.01,23.34,0.0
303,2013-06-17,96,14.918,33.87,22.12,5.16
304,2013-06-17,96,18.73,33.63,23.9,2.57
310,2013-06-17,0,18.8538809209,34.139731857,22.0812793232,7.78302580447
320,2013-06-17,96,17.915,34.58,22.51,0.46
330,2013-06-17,96,0.0,33.71,22.67,9.93
340,2013-06-17,96,15.424,33.83,22.6,0.0
350,2013-06-17,96,15.706,33.81,22.72,22.07
360,2013-06-17,96,24.993,35.39,22.11,21.21
380,2013-06-17,96,21.048,33.92,23.06,0.0
390,2013-06-17,96,21.18,34.09,22.43,1.14
405,2013-06-17,96,22.469,35.44,23.07,0.23
410,2013-06-17,96,25.637,33.91,22.38,0.0
420,2013-06-17,96,21.301,34.24,21.31,0.0
430,2013-06-17,96,24.842,35.73,20.91,39.04
440,2013-06-17,96,20.466,34.25,22.73,0.0
450,2013-06-17,96,26.041,34.19,22.59,0.0
460,2013-06-17,96,24.545,32.29,24.23,0.0
470,2013-06-17,96,23.074,33.08,22.54,0.0
480,2013-06-17,96,24.604,32.79,22.59,0.0
490,2013-06-17,96,26.233,36.0,22.59,0.0
