StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2011-02-02,96,4.595,13.49,1.64,0.0
130,2011-02-02,96,8.782,20.16,4.76,0.46
140,2011-02-02,96,7.371,20.12,5.95,21.59
150,2011-02-02,96,7.035,20.33,8.55,2.34
160,2011-02-02,96,6.082,20.16,8.0,3.96
170,2011-02-02,96,6.37,24.33,13.28,0.46
180,2011-02-02,96,7.417,26.34,12.29,3.25
230,2011-02-02,96,5.416,21.91,15.611,1.016
240,2011-02-02,96,11.401,21.75,16.29,1.37
250,2011-02-02,96,11.449,21.34,17.61,1.02
260,2011-02-02,96,10.003,23.13,15.34,0.46
270,2011-02-02,96,11.599,22.97,17.81,2.54
280,2011-02-02,96,14.284,24.79,17.3,0.0
290,2011-02-02,96,11.916,24.68,16.99,0.51
302,2011-02-02,96,13.415,26.71,18.58,0.0
303,2011-02-02,96,13.733,26.41,17.4,0.0
304,2011-02-02,96,13.427,26.65,17.23,0.0
310,2011-02-02,96,11.119,26.55,18.18,0.0
320,2011-02-02,96,14.684,25.76,18.47,0.0
330,2011-02-02,96,13.814,26.42,17.34,0.0
340,2011-02-02,96,13.281,29.53,16.95,0.0
350,2011-02-02,96,13.863,27.0,17.42,0.0
360,2011-02-02,96,11.751,25.41,17.73,0.0
380,2011-02-02,96,12.57,30.5,14.91,0.0
390,2011-02-02,96,12.315,28.82,14.15,0.0
405,2011-02-02,96,14.739,28.75,16.92,0.0
410,2011-02-02,96,12.895,30.89,14.81,0.0
420,2011-02-02,96,12.836,29.44,13.73,0.0
430,2011-02-02,96,14.267,28.25,17.36,0.0
440,2011-02-02,96,11.076,30.24,14.86,0.0
450,2011-02-02,96,11.654,27.58,14.19,0.0
460,2011-02-02,96,15.715,30.23,15.76,0.0
470,2011-02-02,96,12.691,31.3,14.93,0.0
480,2011-02-02,96,12.578,29.82,16.12,0.0
490,2011-02-02,96,12.179,27.41,15.48,0.0
