StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2017-03-06,96,8.363,22.88,12.81,0.0
130,2017-03-06,96,9.669,23.29,11.85,0.0
140,2017-03-06,96,16.806,26.61,12.12,0.0
150,2017-03-06,96,13.635,24.91,11.98,0.0
160,2017-03-06,96,15.304,23.78,13.14,0.0
170,2017-03-06,96,16.0,22.82,12.73,0.0
180,2017-03-06,96,15.983,25.21,11.51,0.0
230,2017-03-06,96,16.942,26.58,10.961,0.000
240,2017-03-06,96,17.764,24.66,11.46,0.0
250,2017-03-06,96,14.614,23.97,8.75,0.0
260,2017-03-06,96,12.799,24.48,9.31,0.0
270,2017-03-06,96,11.461,23.19,11.250,0.000
280,2017-03-06,96,15.181,25.21,9.48,0.0
290,2017-03-06,96,14.156,25.45,9.02,0.0
302,2017-03-06,96,15.02,23.19,11.25,0.0
303,2017-03-06,96,17.444,26.15,11.8,0.0
304,2017-03-06,96,15.398,24.15,10.96,0.0
310,2017-03-06,0,16.1342901376,25.5857906814,11.2077967309,0.0
320,2017-03-06,96,13.64,23.06,10.13,0.0
330,2017-03-06,96,14.388,24.09,13.26,0.0
340,2017-03-06,96,18.252,25.03,11.62,0.0
350,2017-03-06,96,14.203,26.22,12.2,0.0
360,2017-03-06,96,15.293,25.18,12.44,0.0
380,2017-03-06,96,15.775,25.61,12.33,0.0
390,2017-03-06,96,14.589,25.32,13.26,0.0
405,2017-03-06,96,12.636,24.31,9.44,0.0
410,2017-03-06,96,16.955,24.83,12.06,0.0
420,2017-03-06,96,14.203,26.73,12.11,0.0
430,2017-03-06,0,16.0942649587,24.7412402464,11.1217459609,0.0
440,2017-03-06,96,13.858,24.06,15.33,0.0
450,2017-03-06,96,17.05,25.48,11.9,0.0
460,2017-03-06,96,13.127,25.48,12.34,0.0
470,2017-03-06,96,17.401,24.89,14.88,0.0
480,2017-03-06,96,15.81,25.52,11.95,0.0
490,2017-03-06,96,17.314,24.34,18.65,0.25
