StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2010-07-14,96,22.765,36.27,22.96,78.08
130,2010-07-14,96,20.319,36.4,24.11,4.95
140,2010-07-14,96,19.387,34.87,23.02,7.62
150,2010-07-14,96,13.817,33.51,23.31,0.69
160,2010-07-14,96,19.373,36.07,23.41,23.09
170,2010-07-14,96,21.069,34.53,22.82,0.69
180,2010-07-14,96,20.94,34.85,23.16,10.82
230,2010-07-14,96,27.107,35.98,22.73,0.0
240,2010-07-14,96,24.952,35.74,22.81,0.0
250,2010-07-14,96,25.433,36.1,22.79,0.0
260,2010-07-14,96,23.078,34.05,22.02,0.0
270,2010-07-14,96,25.357,35.4,23.95,0.0
280,2010-07-14,96,26.902,36.67,23.07,0.76
290,2010-07-14,96,20.891,35.35,23.58,0.0
302,2010-07-14,96,20.372,37.4,24.1,0.0
303,2010-07-14,96,24.387,36.17,24.65,0.0
304,2010-07-14,96,15.460,34.93,24.628,15.494
310,2010-07-14,96,25.275,35.41,22.72,0.0
320,2010-07-14,96,24.831,35.03,25.77,0.0
330,2010-07-14,96,22.624,33.9,23.91,0.0
340,2010-07-14,96,18.263,34.29,22.93,0.0
350,2010-07-14,96,22.918,34.07,23.56,0.69
360,2010-07-14,96,20.307,34.79,24.27,11.48
380,2010-07-14,96,11.359,35.06,22.86,0.0
390,2010-07-14,96,22.147,35.27,23.02,7.82
405,2010-07-14,96,9.58,36.14,23.94,0.69
410,2010-07-14,96,21.263,32.45,24.3,0.0
420,2010-07-14,96,16.107,31.69,23.85,0.0
430,2010-07-14,96,19.184,32.05,25.69,3.25
440,2010-07-14,96,13.602,31.31,24.01,0.0
450,2010-07-14,96,16.478,31.36,23.36,15.85
460,2010-07-14,96,24.9,35.67,23.41,0.91
470,2010-07-14,96,23.921,36.05,23.62,0.0
480,2010-07-14,96,22.083,36.74,23.83,0.0
490,2010-07-14,96,14.591,34.51,23.74,0.0
