StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2011-01-20,96,7.302,17.10,3.872,0.762
130,2011-01-20,96,8.256,16.60,4.283,0.000
140,2011-01-20,96,8.595,16.24,3.167,0.000
150,2011-01-20,96,6.812,14.96,3.439,4.572
160,2011-01-20,96,6.829,17.21,0.372,1.016
170,2011-01-20,96,9.627,20.43,1.222,0.762
180,2011-01-20,96,11.329,23.03,2.789,3.810
230,2011-01-20,96,13.680,25.22,3.978,15.748
240,2011-01-20,96,11.589,23.39,2.911,3.810
250,2011-01-20,96,11.722,24.54,4.272,14.986
260,2011-01-20,96,12.928,23.12,2.044,13.970
270,2011-01-20,96,11.660,22.22,4.528,3.556
280,2011-01-20,96,15.181,26.31,5.528,2.286
290,2011-01-20,96,11.351,27.27,4.000,1.270
302,2011-01-20,96,14.790,26.46,7.622,0.508
303,2011-01-20,96,14.518,26.13,6.994,0.762
304,2011-01-20,96,13.648,26.94,9.300,0.000
310,2011-01-20,96,12.868,26.84,0.000,0.762
320,2011-01-20,96,14.885,26.19,8.689,0.000
330,2011-01-20,96,13.680,27.29,9.450,0.000
340,2011-01-20,96,15.072,28.17,8.672,0.000
350,2011-01-20,96,13.794,26.41,8.722,0.254
360,2011-01-20,96,14.213,26.45,8.011,0.000
380,2011-01-20,96,12.209,27.71,8.872,0.000
390,2011-01-20,96,13.581,27.68,10.672,0.000
405,2011-01-20,96,13.964,28.63,13.578,0.000
410,2011-01-20,96,12.334,27.73,14.100,0.000
420,2011-01-20,51,17.231,28.73,18.872,0.000
430,2011-01-20,96,12.683,29.08,11.728,0.000
440,2011-01-20,96,16.479,28.82,14.239,0.000
450,2011-01-20,96,16.372,29.55,11.561,0.000
460,2011-01-20,96,12.976,29.03,10.850,0.000
470,2011-01-20,96,12.634,27.52,10.211,0.000
480,2011-01-20,96,12.653,28.12,8.628,0.000
490,2011-01-20,96,13.242,28.69,10.322,0.000
