StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2015-05-13,96,19.357,31.75,20.77,0.25
130,2015-05-13,96,24.012,32.06,19.21,0.0
140,2015-05-13,96,21.371,35.57,19.63,8.64
150,2015-05-13,96,22.413,33.44,20.7,0.0
160,2015-05-13,96,24.369,32.35,19.19,0.0
170,2015-05-13,96,24.363,32.2,19.81,0.0
180,2015-05-13,96,24.235,33.02,18.11,0.0
230,2015-05-13,96,22.793,34.74,19.63,0.0
240,2015-05-13,96,21.753,34.76,18.98,9.65
250,2015-05-13,96,13.298,33.87,18.84,0.51
260,2015-05-13,96,20.279,33.32,19.64,10.41
270,2015-05-13,96,19.386,35.10,18.772,0.000
280,2015-05-13,96,21.423,34.3,19.44,16.26
290,2015-05-13,96,18.16,33.67,18.35,32.51
302,2015-05-13,96,18.703,35.1,18.77,0.0
303,2015-05-13,96,21.104,32.6,17.23,0.0
304,2015-05-13,96,26.688,34.58,20.07,26.16
310,2015-05-13,0,21.5541894417,33.4425249086,18.7963896953,23.784971867
320,2015-05-13,96,22.326,33.26,19.59,0.0
330,2015-05-13,96,20.197,33.54,20.78,0.0
340,2015-05-13,96,21.418,33.4,20.28,0.0
350,2015-05-13,96,26.4,34.65,21.11,0.23
360,2015-05-13,96,22.414,33.68,20.42,69.95
380,2015-05-13,96,15.666,35.13,21.15,0.0
390,2015-05-13,96,24.961,34.36,22.04,0.0
405,2015-05-13,96,17.22,31.78,19.03,0.0
410,2015-05-13,96,21.549,33.97,19.59,0.0
420,2015-05-13,96,19.741,35.03,20.77,0.23
430,2015-05-13,0,20.2008914483,33.1171455249,19.6553969329,0.0
440,2015-05-13,96,23.882,32.55,18.69,0.0
450,2015-05-13,96,21.355,33.34,19.14,0.0
460,2015-05-13,96,21.814,33.91,20.63,0.0
470,2015-05-13,96,15.629,32.09,21.15,0.23
480,2015-05-13,96,24.986,32.6,20.7,0.0
490,2015-05-13,96,19.915,29.72,24.11,0.0
