StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2017-04-22,96,22.623,28.86,14.7,0.0
130,2017-04-22,96,21.564,30.6,14.48,0.0
140,2017-04-22,96,25.563,31.22,14.85,0.0
150,2017-04-22,96,20.712,30.79,16.5,0.0
160,2017-04-22,96,24.799,29.96,13.11,0.0
170,2017-04-22,96,25.552,27.64,13.66,0.0
180,2017-04-22,96,22.375,30.29,13.58,0.0
230,2017-04-22,96,21.799,31.08,16.8,0.0
240,2017-04-22,96,21.932,31.95,15.978,0.000
250,2017-04-22,96,21.504,32.27,15.24,0.0
260,2017-04-22,96,25.661,33.97,15.44,0.0
270,2017-04-22,96,20.396,30.42,14.611,0.000
280,2017-04-22,96,24.015,32.17,15.26,0.0
290,2017-04-22,96,23.287,31.9,14.81,0.0
302,2017-04-22,96,25.718,30.42,14.61,0.0
303,2017-04-22,96,26.199,31.12,13.31,0.0
304,2017-04-22,96,28.439,31.94,16.65,0.0
310,2017-04-22,0,25.1093447469,31.6332455124,14.4350026923,0.0
320,2017-04-22,96,22.645,33.77,14.42,0.0
330,2017-04-22,96,23.615,31.65,16.45,0.0
340,2017-04-22,96,27.782,31.06,14.71,0.0
350,2017-04-22,96,25.275,31.19,15.92,0.0
360,2017-04-22,96,24.784,31.76,15.15,0.0
380,2017-04-22,96,22.096,31.51,16.08,0.0
390,2017-04-22,96,27.481,31.01,17.51,0.0
405,2017-04-22,96,23.938,31.29,13.71,0.0
410,2017-04-22,96,24.591,27.36,14.37,0.0
420,2017-04-22,96,22.765,31.08,15.28,0.0
430,2017-04-22,0,25.4767019705,29.7985158884,14.2865658343,0.0
440,2017-04-22,96,24.235,30.26,16.41,0.0
450,2017-04-22,96,26.377,28.53,12.64,0.0
460,2017-04-22,96,25.952,30.67,16.49,0.0
470,2017-04-22,96,27.549,29.78,18.61,0.0
480,2017-04-22,96,26.117,29.88,16.02,0.0
490,2017-04-22,96,23.125,26.39,23.16,0.0
