StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2013-10-07,96,4.281,24.57,14.59,0.25
130,2013-10-07,96,4.95,25.81,16.34,4.57
140,2013-10-07,96,11.685,29.23,20.650,0.762
150,2013-10-07,96,3.469,25.56,18.88,44.2
160,2013-10-07,96,8.964,29.23,20.65,0.76
170,2013-10-07,96,6.708,30.22,21.65,12.45
180,2013-10-07,96,10.964,30.87,20.822,3.556
230,2013-10-07,96,12.912,31.56,20.5,0.0
240,2013-10-07,96,13.356,30.87,20.82,3.56
250,2013-10-07,96,8.436,29.60,20.528,39.370
260,2013-10-07,96,14.696,30.84,20.31,0.23
270,2013-10-07,96,11.661,30.00,20.311,0.000
280,2013-10-07,96,15.917,29.6,20.53,39.37
290,2013-10-07,96,15.375,30.15,20.4,16.0
302,2013-10-07,96,15.415,30.0,20.31,0.0
303,2013-10-07,96,8.364,29.04,20.53,14.58
304,2013-10-07,96,7.779,29.28,21.761,6.604
310,2013-10-07,0,11.9816310279,29.3819614878,20.7040934083,21.7146926549
320,2013-10-07,96,8.235,30.25,22.128,17.780
330,2013-10-07,96,11.295,30.90,20.322,15.748
340,2013-10-07,95,12.418,30.29,20.622,12.446
350,2013-10-07,96,16.836,29.28,21.76,6.53
360,2013-10-07,96,9.732,30.16,22.072,5.080
380,2013-10-07,96,16.051,30.25,22.13,17.83
390,2013-10-07,96,19.805,30.9,20.32,15.7
405,2013-10-07,95,15.159,30.29,20.62,12.37
410,2013-10-07,96,16.844,29.38,20.38,20.57
420,2013-10-07,96,14.609,30.16,22.07,5.18
430,2013-10-07,96,13.106,30.2,20.83,19.46
440,2013-10-07,96,15.187,29.04,21.1,10.41
450,2013-10-07,96,13.010,31.10,22.372,1.270
460,2013-10-07,95,16.406,31.33,21.41,31.24
470,2013-10-07,96,15.574,31.11,19.8,44.22
480,2013-10-07,96,17.767,32.34,21.27,20.57
490,2013-10-07,96,14.721,31.58,21.75,54.61
