StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-02-14,96,3.059,18.68,11.83,30.45
130,2009-02-14,96,2.067,18.21,11.54,25.02
140,2009-02-14,96,3.529,18.35,11.08,24.36
150,2009-02-14,96,1.983,18.09,11.35,42.14
160,2009-02-14,96,3.493,18.27,11.17,14.12
170,2009-02-14,96,3.455,17.61,10.52,9.83
180,2009-02-14,96,4.297,19.84,9.86,5.97
230,2009-02-14,96,8.803,25.57,11.69,3.94
240,2009-02-14,96,7.27,23.74,9.8,2.29
250,2009-02-14,96,8.467,24.93,9.61,7.44
260,2009-02-14,96,4.841,21.05,9.58,4.11
270,2009-02-14,96,6.873,23.36,10.08,2.51
280,2009-02-14,96,14.889,27.76,11.18,0.0
290,2009-02-14,96,12.784,29.66,8.91,0.0
302,2009-02-14,96,17.027,28.75,8.73,0.0
303,2009-02-14,96,19.12,27.64,10.67,0.0
304,2009-02-14,96,17.138,29.23,14.18,0.0
310,2009-02-14,96,15.585,27.05,7.19,0.0
320,2009-02-14,96,17.453,27.57,11.68,0.0
330,2009-02-14,96,15.958,27.51,15.0,0.0
340,2009-02-14,96,15.236,29.31,10.92,0.0
350,2009-02-14,96,17.598,24.74,9.72,0.0
360,2009-02-14,96,19.159,25.21,10.43,0.0
380,2009-02-14,96,14.963,28.42,10.05,0.0
390,2009-02-14,96,18.079,29.88,13.04,0.0
405,2009-02-14,96,17.56,30.04,13.47,0.0
410,2009-02-14,96,14.434,30.16,14.32,0.0
420,2009-02-14,96,16.724,30.2,16.45,0.0
430,2009-02-14,96,18.286,29.65,13.18,0.0
440,2009-02-14,96,16.61,28.87,13.86,0.0
450,2009-02-14,96,19.116,29.97,11.77,0.0
460,2009-02-14,96,17.98,31.5,12.11,0.0
470,2009-02-14,96,17.161,29.97,13.55,0.0
480,2009-02-14,96,18.588,25.46,9.54,0.0
490,2009-02-14,96,19.618,28.32,10.67,0.0
