StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2014-04-22,96,25.273,26.73,12.04,0.76
130,2014-04-22,96,26.76,27.57,12.09,0.0
140,2014-04-22,96,25.181,26.86,12.77,0.0
150,2014-04-22,96,23.819,27.86,12.59,0.0
160,2014-04-22,96,27.403,27.24,11.14,0.0
170,2014-04-22,96,26.05,25.01,13.57,0.0
180,2014-04-22,96,25.223,29.36,10.44,0.0
230,2014-04-22,96,22.995,28.11,13.02,0.0
240,2014-04-22,96,15.938,28.0,11.66,0.0
250,2014-04-22,96,19.361,29.75,12.04,0.0
260,2014-04-22,96,11.0,27.65,11.46,0.0
270,2014-04-22,96,23.363,27.58,11.200,0.000
280,2014-04-22,96,11.302,26.92,12.42,0.0
290,2014-04-22,96,18.219,26.87,11.26,0.0
302,2014-04-22,96,14.977,27.58,11.2,0.0
303,2014-04-22,96,16.26,24.44,10.62,0.0
304,2014-04-22,96,9.095,29.5,12.84,0.0
310,2014-04-22,0,12.7500074607,25.4829921003,11.8804432645,0.0
320,2014-04-22,96,8.252,28.13,10.38,0.0
330,2014-04-22,96,9.348,27.16,11.63,0.0
340,2014-04-22,96,9.077,27.13,10.98,0.0
350,2014-04-22,96,11.577,28.13,12.66,0.0
360,2014-04-22,96,9.119,25.31,13.16,0.0
380,2014-04-22,96,21.533,26.52,10.761,0.000
390,2014-04-22,96,12.237,26.95,13.55,0.0
405,2014-04-22,96,15.781,27.69,11.28,0.0
410,2014-04-22,96,10.175,25.26,11.97,0.0
420,2014-04-22,96,18.257,29.03,18.111,0.000
430,2014-04-22,0,11.4908126589,26.6260760926,11.426409871,0.0
440,2014-04-22,96,9.593,27.18,12.81,0.0
450,2014-04-22,96,16.163,28.74,13.63,0.0
460,2014-04-22,96,12.645,26.52,10.76,0.0
470,2014-04-22,96,13.083,28.82,12.47,0.0
480,2014-04-22,96,18.928,28.33,14.55,0.0
490,2014-04-22,96,23.932,28.46,15.8,0.0
