StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2011-10-05,96,21.065,28.78,11.27,0.0
130,2011-10-05,96,20.702,31.12,10.63,0.23
140,2011-10-05,96,21.569,29.24,9.06,0.0
150,2011-10-05,96,17.705,28.72,11.47,0.0
160,2011-10-05,96,20.159,30.38,7.5,0.0
170,2011-10-05,96,18.968,28.23,10.1,0.0
180,2011-10-05,96,18.343,27.84,10.74,0.0
230,2011-10-05,96,21.897,31.08,14.16,0.0
240,2011-10-05,96,20.666,28.24,13.19,0.0
250,2011-10-05,96,19.316,30.52,12.71,0.0
260,2011-10-05,96,18.91,28.9,9.87,0.0
270,2011-10-05,96,21.348,27.65,14.02,0.0
280,2011-10-05,96,23.496,30.38,17.1,0.0
290,2011-10-05,96,20.438,29.3,16.64,0.0
302,2011-10-05,96,21.293,29.81,18.15,0.0
303,2011-10-05,96,21.565,29.67,15.44,0.0
304,2011-10-05,96,20.815,29.47,16.98,0.0
310,2011-10-05,96,21.835,30.49,12.97,0.0
320,2011-10-05,96,21.02,30.48,16.52,0.0
330,2011-10-05,96,22.77,29.8,16.26,0.0
340,2011-10-05,96,21.27,28.09,17.04,0.0
350,2011-10-05,96,21.516,29.58,16.99,0.0
360,2011-10-05,96,21.048,31.21,15.56,0.0
380,2011-10-05,96,22.027,29.46,15.56,0.0
390,2011-10-05,96,21.505,29.79,17.3,0.0
405,2011-10-05,96,21.282,29.71,19.39,0.0
410,2011-10-05,96,21.495,29.7,17.9,0.0
420,2011-10-05,96,21.749,30.1,18.23,0.0
430,2011-10-05,96,18.346,28.84,19.77,0.23
440,2011-10-05,96,22.052,28.76,19.8,0.0
450,2011-10-05,96,15.962,29.69,20.03,0.0
460,2011-10-05,96,22.778,31.99,16.37,0.0
470,2011-10-05,96,20.791,30.52,18.25,0.0
480,2011-10-05,96,21.11,29.9,18.86,0.0
490,2011-10-05,96,20.48,30.47,18.32,0.0
