StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2015-06-13,96,20.315,32.33,23.08,0.0
130,2015-06-13,96,24.78,33.7,20.19,13.72
140,2015-06-13,96,23.817,34.79,21.93,0.0
150,2015-06-13,96,21.077,34.14,22.12,0.0
160,2015-06-13,96,21.449,32.74,20.55,0.0
170,2015-06-13,96,22.71,32.03,23.03,0.0
180,2015-06-13,96,24.405,35.06,20.15,0.51
230,2015-06-13,96,22.917,34.91,22.21,0.0
240,2015-06-13,96,23.11,36.56,21.15,0.0
250,2015-06-13,96,20.717,36.36,21.02,0.0
260,2015-06-13,96,19.969,36.05,20.91,0.25
270,2015-06-13,96,25.765,34.55,21.272,0.000
280,2015-06-13,96,20.935,34.89,22.3,0.0
290,2015-06-13,96,21.124,35.45,20.37,0.25
302,2015-06-13,96,23.518,34.55,21.27,0.0
303,2015-06-13,96,20.827,33.74,19.44,0.0
304,2015-06-13,96,17.958,34.98,22.24,0.0
310,2015-06-13,0,20.6139480715,34.1304191909,20.9663800436,0.0
320,2015-06-13,96,18.028,35.35,21.82,0.0
330,2015-06-13,96,14.368,33.97,23.21,0.0
340,2015-06-13,96,17.736,34.49,21.46,0.0
350,2015-06-13,96,16.049,35.11,24.16,0.0
360,2015-06-13,96,19.885,33.79,21.67,0.0
380,2015-06-13,96,15.876,34.74,23.9,0.0
390,2015-06-13,96,14.645,33.66,23.6,0.0
405,2015-06-13,96,20.069,31.90,23.778,0.000
410,2015-06-13,96,19.141,33.14,23.07,0.0
420,2015-06-13,96,18.898,36.42,21.65,0.0
430,2015-06-13,0,16.0384185192,33.2937446024,22.2016759493,0.0
440,2015-06-13,96,15.28,32.19,21.46,0.0
450,2015-06-13,96,17.243,32.67,23.0,0.0
460,2015-06-13,96,13.031,33.62,22.34,0.0
470,2015-06-13,96,12.126,31.9,23.78,0.0
480,2015-06-13,96,18.941,31.73,22.4,0.0
490,2015-06-13,96,20.564,29.78,25.84,0.0
