StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-03-16,96,2.438,19.63,14.54,52.98
130,2009-03-16,96,5.592,21.4,16.4,13.92
140,2009-03-16,96,8.454,24.11,16.08,1.85
150,2009-03-16,96,7.791,24.1,16.98,6.81
160,2009-03-16,96,8.733,26.91,16.15,5.18
170,2009-03-16,96,15.5,27.57,16.56,0.0
180,2009-03-16,96,16.45,31.24,15.12,0.0
230,2009-03-16,96,21.388,30.33,16.52,0.0
240,2009-03-16,96,19.994,30.96,15.22,0.0
250,2009-03-16,96,19.894,30.57,16.19,0.0
260,2009-03-16,96,16.87,29.36,13.54,0.0
270,2009-03-16,96,18.991,31.69,14.63,0.0
280,2009-03-16,96,19.785,33.25,17.34,0.0
290,2009-03-16,96,18.547,33.45,14.6,0.0
302,2009-03-16,96,20.915,32.86,15.09,0.0
303,2009-03-16,96,22.174,31.75,16.73,0.0
304,2009-03-16,96,15.164,31.18,16.56,0.0
310,2009-03-16,96,17.291,31.77,16.45,0.0
320,2009-03-16,96,19.178,30.79,17.93,0.0
330,2009-03-16,96,17.236,31.89,16.78,0.0
340,2009-03-16,96,7.742,31.8,13.57,0.0
350,2009-03-16,96,18.492,29.75,14.87,0.0
360,2009-03-16,96,19.811,30.14,16.39,0.0
380,2009-03-16,95,20.48,33.07,14.81,0.0
390,2009-03-16,96,20.041,31.95,15.82,0.0
405,2009-03-16,96,15.61,29.93,17.53,0.0
410,2009-03-16,96,16.373,29.62,15.82,0.0
420,2009-03-16,96,20.994,29.07,19.32,0.0
430,2009-03-16,96,18.779,29.26,15.52,0.0
440,2009-03-16,96,17.352,28.49,14.49,0.0
450,2009-03-16,96,18.378,33.16,16.17,0.0
460,2009-03-16,96,16.276,32.39,15.56,0.0
470,2009-03-16,96,17.563,32.87,18.26,0.0
480,2009-03-16,96,22.352,30.52,14.86,0.0
490,2009-03-16,96,19.297,32.77,16.43,0.0
