StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2017-11-05,96,15.107,28.28,14.1,0.0
130,2017-11-05,96,13.577,31.06,13.07,0.0
140,2017-11-05,96,13.973,29.54,11.38,0.0
150,2017-11-05,96,13.755,31.03,13.3,0.0
160,2017-11-05,96,13.193,29.24,12.69,0.0
170,2017-11-05,96,13.838,28.07,14.24,0.0
180,2017-11-05,96,14.592,30.13,12.79,0.0
230,2017-11-05,96,15.513,26.94,12.27,0.0
240,2017-11-05,96,13.244,27.51,12.49,0.0
250,2017-11-05,96,14.576,29.45,11.91,0.0
260,2017-11-05,96,14.611,28.45,13.88,0.25
270,2017-11-05,96,10.090,27.50,15.411,0.000
280,2017-11-05,96,14.94,28.43,11.81,0.53
290,2017-11-05,96,13.721,28.3,10.75,0.0
302,2017-11-05,96,16.049,27.5,15.41,0.0
303,2017-11-05,96,15.364,28.97,8.36,0.0
304,2017-11-05,96,14.549,28.9,14.8,0.0
310,2017-11-05,0,14.9632491616,28.7664879847,10.7921158937,0.173853962676
320,2017-11-05,96,11.142,28.25,17.11,0.51
330,2017-11-05,96,13.967,29.22,17.06,0.0
340,2017-11-05,96,17.088,29.0,13.97,1.52
350,2017-11-05,96,14.744,28.51,17.55,0.0
360,2017-11-05,96,14.372,28.87,13.29,0.0
380,2017-11-05,96,13.808,29.66,16.95,0.25
390,2017-11-05,96,15.643,29.47,17.17,0.0
405,2017-11-05,96,14.286,27.65,18.08,0.0
410,2017-11-05,96,15.196,27.65,14.31,0.0
420,2017-11-05,96,14.27,28.04,13.95,0.0
430,2017-11-05,0,15.5637000061,28.1079052698,15.3300081018,0.515567414871
440,2017-11-05,96,15.988,28.37,20.2,0.0
450,2017-11-05,96,16.396,29.16,15.47,2.34
460,2017-11-05,96,13.769,29.86,16.51,0.0
470,2017-11-05,96,17.014,28.55,18.96,0.0
480,2017-11-05,96,15.491,29.24,19.49,0.0
490,2017-11-05,96,15.096,28.83,20.37,0.25
