StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2010-03-15,96,20.702,16.65,6.78,0.0
130,2010-03-15,96,15.987,15.9,7.59,0.0
140,2010-03-15,96,16.538,15.89,6.65,0.0
150,2010-03-15,96,15.976,19.66,7.75,0.0
160,2010-03-15,96,16.753,16.35,6.38,0.0
170,2010-03-15,96,13.469,17.09,7.13,0.0
180,2010-03-15,96,15.792,19.23,6.31,0.0
230,2010-03-15,96,22.016,22.13,8.52,0.0
240,2010-03-15,96,20.441,19.89,9.54,0.0
250,2010-03-15,96,20.549,20.89,10.63,0.0
260,2010-03-15,96,19.576,19.31,7.16,0.0
270,2010-03-15,96,22.789,19.14,11.43,0.0
280,2010-03-15,96,23.582,23.08,10.1,0.0
290,2010-03-15,96,21.331,20.71,11.03,0.0
302,2010-03-15,96,22.055,23.27,10.18,0.0
303,2010-03-15,96,21.614,21.61,10.17,0.0
304,2010-03-15,96,21.249,23.37,10.12,0.0
310,2010-03-15,96,21.21,21.59,7.07,0.0
320,2010-03-15,96,22.528,20.98,13.48,0.0
330,2010-03-15,96,22.773,21.65,10.66,0.0
340,2010-03-15,96,22.924,23.13,9.51,0.0
350,2010-03-15,96,22.278,21.04,11.4,0.0
360,2010-03-15,96,22.436,20.91,10.67,0.0
380,2010-03-15,96,21.225,22.8,8.43,0.0
390,2010-03-15,96,21.458,24.33,9.32,0.0
405,2010-03-15,96,22.572,24.26,11.83,0.0
410,2010-03-15,96,22.929,24.05,9.86,0.0
420,2010-03-15,96,23.357,25.41,14.06,0.0
430,2010-03-15,96,24.957,24.23,11.39,0.0
440,2010-03-15,96,22.226,24.43,9.84,0.0
450,2010-03-15,96,24.116,24.33,10.22,0.0
460,2010-03-15,96,23.702,25.12,7.92,0.0
470,2010-03-15,96,19.196,23.92,11.15,0.0
480,2010-03-15,96,23.209,20.98,10.07,0.0
490,2010-03-15,96,19.297,22.93,10.54,0.0
