StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2011-11-05,96,12.512,21.58,5.96,0.0
130,2011-11-05,96,13.532,21.61,3.87,0.0
140,2011-11-05,96,15.94,19.22,4.38,0.0
150,2011-11-05,96,14.048,21.54,5.49,0.0
160,2011-11-05,96,15.415,19.74,4.16,0.0
170,2011-11-05,96,14.108,18.32,6.55,0.0
180,2011-11-05,96,13.405,14.44,6.8,0.0
230,2011-11-05,96,15.248,20.4,6.79,0.0
240,2011-11-05,96,14.552,17.02,10.29,0.0
250,2011-11-05,96,13.212,19.98,7.78,0.0
260,2011-11-05,96,13.746,16.44,5.84,0.0
270,2011-11-05,96,13.787,19.74,12.49,0.0
280,2011-11-05,96,17.707,21.32,8.9,0.0
290,2011-11-05,96,12.05,20.95,9.67,0.0
302,2011-11-05,96,16.457,20.8,10.75,0.0
303,2011-11-05,96,16.006,21.22,8.06,0.0
304,2011-11-05,96,16.165,21.2,9.59,0.0
310,2011-11-05,96,16.998,21.45,7.81,0.0
320,2011-11-05,96,15.752,22.3,10.07,0.0
330,2011-11-05,96,16.439,22.44,9.66,0.0
340,2011-11-05,96,14.066,22.78,10.8,0.0
350,2011-11-05,96,15.598,23.29,8.58,0.0
360,2011-11-05,96,16.839,22.98,9.97,0.0
380,2011-11-05,96,13.519,24.39,12.84,2.77
390,2011-11-05,96,13.491,23.92,9.46,0.0
405,2011-11-05,96,14.923,23.63,11.38,0.0
410,2011-11-05,96,12.014,25.26,9.67,0.0
420,2011-11-05,96,17.168,25.8,13.01,0.0
430,2011-11-05,96,17.436,26.45,14.69,2.57
440,2011-11-05,96,12.921,24.84,12.45,7.11
450,2011-11-05,96,17.084,25.57,13.51,0.0
460,2011-11-05,96,12.052,25.45,10.11,0.0
470,2011-11-05,96,10.582,25.29,10.32,0.0
480,2011-11-05,96,12.967,23.35,10.39,0.0
490,2011-11-05,96,12.192,24.39,8.32,0.0
