StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2013-02-07,96,12.204,23.06,11.93,50.29
130,2013-02-07,96,2.074,18.96,11.728,52.324
140,2013-02-07,96,10.675,18.96,11.73,52.32
150,2013-02-07,96,7.397,19.78,13.62,8.13
160,2013-02-07,96,13.507,20.94,12.34,26.92
170,2013-02-07,96,9.172,19.9,13.53,6.86
180,2013-02-07,96,7.759,23.8,12.97,0.76
230,2013-02-07,96,6.07,24.33,13.77,1.02
240,2013-02-07,96,10.117,25.74,14.08,11.46
250,2013-02-07,96,6.378,25.42,12.63,6.68
260,2013-02-07,96,6.176,25.23,11.850,5.588
270,2013-02-07,96,9.632,26.19,12.03,8.13
280,2013-02-07,96,7.923,25.23,11.85,5.59
290,2013-02-07,96,6.418,26.45,16.13,3.56
302,2013-02-07,96,6.926,26.67,14.0,4.75
303,2013-02-07,96,6.077,28.24,12.86,2.51
304,2013-02-07,96,7.65,26.73,14.26,1.17
310,2013-02-07,0,7.3124382369,27.3396874067,13.3701448654,2.8582386342
320,2013-02-07,96,7.342,27.74,14.2,0.0
330,2013-02-07,96,8.88,26.91,17.14,0.0
340,2013-02-07,96,10.069,27.59,15.06,0.23
350,2013-02-07,96,8.461,27.08,15.48,0.0
360,2013-02-07,96,8.465,28.57,16.05,0.0
380,2013-02-07,96,10.907,27.67,13.1,0.0
390,2013-02-07,96,10.528,28.08,15.02,0.91
405,2013-02-07,96,9.192,28.86,16.07,0.23
410,2013-02-07,96,11.321,26.54,12.02,0.0
420,2013-02-07,96,12.975,28.41,14.19,0.0
430,2013-02-07,96,11.447,28.5,15.8,0.0
440,2013-02-07,96,15.68,28.96,13.49,0.0
450,2013-02-07,96,11.464,28.81,12.26,0.0
460,2013-02-07,96,14.575,28.0,18.51,0.0
470,2013-02-07,96,10.899,26.33,12.76,0.0
480,2013-02-07,96,16.182,27.93,13.59,0.0
490,2013-02-07,96,16.636,29.78,13.44,0.0
