StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2010-03-31,96,21.451,25.57,8.39,0.0
130,2010-03-31,96,24.552,26.48,6.42,0.0
140,2010-03-31,96,24.435,26.5,5.67,0.0
150,2010-03-31,96,22.651,21.63,4.38,0.0
160,2010-03-31,96,23.416,27.49,6.21,0.0
170,2010-03-31,96,23.427,26.92,5.95,0.0
180,2010-03-31,96,24.105,27.90,5.917,0.254
230,2010-03-31,96,25.915,28.28,5.88,0.0
240,2010-03-31,96,24.238,26.8,8.62,0.0
250,2010-03-31,96,24.315,27.56,7.83,0.0
260,2010-03-31,96,22.056,26.3,6.7,0.0
270,2010-03-31,96,26.211,26.7,8.64,0.0
280,2010-03-31,96,27.34,28.86,7.02,0.0
290,2010-03-31,96,24.253,27.55,7.66,0.0
302,2010-03-31,96,24.804,27.69,5.91,0.0
303,2010-03-31,96,25.544,26.86,6.45,0.0
304,2010-03-31,96,24.7,26.77,7.53,0.0
310,2010-03-31,96,24.836,27.02,4.26,0.0
320,2010-03-31,96,26.241,27.2,11.25,0.0
330,2010-03-31,96,26.238,26.54,9.94,0.0
340,2010-03-31,96,25.047,25.54,7.35,0.0
350,2010-03-31,96,25.977,23.61,5.97,0.0
360,2010-03-31,96,26.656,24.48,7.91,0.0
380,2010-03-31,96,26.039,25.37,6.12,0.48
390,2010-03-31,96,25.179,27.3,5.48,0.0
405,2010-03-31,96,24.458,24.39,8.1,0.0
410,2010-03-31,96,26.003,23.13,6.64,0.0
420,2010-03-31,96,26.81,25.09,9.94,0.0
430,2010-03-31,96,23.88,23.76,8.08,0.0
440,2010-03-31,96,26.957,24.91,0.0,0.0
450,2010-03-31,96,27.293,26.99,7.1,0.0
460,2010-03-31,96,25.431,26.23,5.08,0.0
470,2010-03-31,96,25.394,26.06,8.1,0.0
480,2010-03-31,96,25.652,21.66,7.82,0.0
490,2010-03-31,96,25.372,25.54,7.7,0.0
