StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2012-03-25,96,22.614,26.66,10.78,0.0
130,2012-03-25,96,18.488,25.96,11.33,0.0
140,2012-03-25,96,20.07,25.13,11.53,0.0
150,2012-03-25,96,13.939,29.36,12.58,0.0
160,2012-03-25,96,16.224,26.02,10.99,0.0
170,2012-03-25,96,8.704,24.94,12.52,0.0
180,2012-03-25,96,7.901,25.39,12.01,0.0
230,2012-03-25,96,11.68,29.96,14.59,0.23
240,2012-03-25,96,9.261,27.11,12.75,0.0
250,2012-03-25,96,12.986,27.39,15.46,0.0
260,2012-03-25,96,7.722,26.34,10.58,0.0
270,2012-03-25,96,13.822,26.0,13.11,0.0
280,2012-03-25,96,15.129,30.48,15.03,0.0
290,2012-03-25,96,13.457,27.53,15.28,0.0
302,2012-03-25,96,15.693,28.25,16.87,0.0
303,2012-03-25,96,14.782,28.08,15.08,0.23
304,2012-03-25,96,15.858,29.39,16.51,0.0
310,2012-03-25,96,14.017,27.67,14.16,0.0
320,2012-03-25,96,15.438,27.75,17.05,0.46
330,2012-03-25,96,19.191,27.96,16.99,1.14
340,2012-03-25,96,17.246,28.19,17.17,0.46
350,2012-03-25,96,19.434,26.8,18.08,2.82
360,2012-03-25,96,20.131,28.13,15.74,5.84
380,2012-03-25,96,21.659,28.68,15.55,3.96
390,2012-03-25,96,21.473,28.58,11.97,1.83
405,2012-03-25,96,15.864,29.0,14.73,0.69
410,2012-03-25,96,20.647,29.0,15.07,0.0
420,2012-03-25,96,21.442,28.99,14.73,0.0
430,2012-03-25,96,24.241,29.48,19.69,0.0
440,2012-03-25,96,21.13,27.91,16.19,10.49
450,2012-03-25,96,22.298,29.75,16.24,0.0
460,2012-03-25,96,24.273,28.13,13.73,1.6
470,2012-03-25,96,19.662,29.31,14.01,0.79
480,2012-03-25,96,18.016,28.95,16.02,0.91
490,2012-03-25,96,18.965,27.16,14.97,6.48
