StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-07-04,96,26.423,34.99,19.99,0.0
130,2009-07-04,96,29.546,36.43,18.87,0.0
140,2009-07-04,96,28.305,36.24,18.47,0.0
150,2009-07-04,96,26.013,35.03,20.33,0.0
160,2009-07-04,96,28.406,36.2,17.14,0.0
170,2009-07-04,96,26.049,36.79,19.66,0.0
180,2009-07-04,96,21.591,35.82,22.600,0.000
230,2009-07-04,96,26.34,37.79,22.11,0.0
240,2009-07-04,96,24.045,35.75,23.48,0.0
250,2009-07-04,96,23.075,36.21,22.72,0.0
260,2009-07-04,96,24.191,35.38,21.13,0.0
270,2009-07-04,96,24.28,35.32,23.61,0.0
280,2009-07-04,96,25.986,36.95,22.36,0.0
290,2009-07-04,96,23.857,35.27,22.01,35.36
302,2009-07-04,96,25.152,36.74,22.62,0.0
303,2009-07-04,96,25.852,35.34,23.72,0.0
304,2009-07-04,96,23.404,36.05,23.86,0.23
310,2009-07-04,96,26.637,34.89,21.6,0.0
320,2009-07-04,96,26.763,35.62,25.32,0.0
330,2009-07-04,96,19.843,32.9,23.75,18.44
340,2009-07-04,96,18.697,34.8,22.19,6.63
350,2009-07-04,96,20.295,34.23,23.63,0.0
360,2009-07-04,96,20.484,33.32,24.09,0.23
380,2009-07-04,96,19.695,34.21,22.94,0.0
390,2009-07-04,96,18.695,34.39,24.02,1.37
405,2009-07-04,96,23.818,33.6,23.47,0.0
410,2009-07-04,96,20.041,33.98,21.73,0.0
420,2009-07-04,96,18.97,33.33,24.18,15.57
430,2009-07-04,96,22.96,33.13,23.13,0.23
440,2009-07-04,96,14.362,31.9,22.68,8.56
450,2009-07-04,96,19.379,35.52,22.76,0.69
460,2009-07-04,96,24.008,35.32,22.69,0.0
470,2009-07-04,96,20.421,36.41,23.67,5.56
480,2009-07-04,96,23.047,32.78,22.81,0.0
490,2009-07-04,96,20.058,35.07,23.98,0.91
