StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2017-06-07,96,13.82,30.01,20.76,24.64
130,2017-06-07,96,11.986,28.1,19.54,8.64
140,2017-06-07,96,7.462,30.9,21.5,15.49
150,2017-06-07,96,6.39,28.88,19.66,9.14
160,2017-06-07,96,8.243,29.37,19.47,46.74
170,2017-06-07,96,7.474,28.61,20.19,50.8
180,2017-06-07,96,7.659,28.97,19.49,51.56
230,2017-06-07,96,6.601,29.41,21.03,50.29
240,2017-06-07,96,3.212,27.51,21.28,39.88
250,2017-06-07,96,7.162,30.55,21.61,43.94
260,2017-06-07,96,5.19,27.96,21.76,105.66
270,2017-06-07,96,5.192,25.14,21.678,30.480
280,2017-06-07,96,8.397,27.44,22.04,77.42
290,2017-06-07,96,4.005,26.56,21.17,98.3
302,2017-06-07,96,7.453,25.14,21.68,30.48
303,2017-06-07,96,8.011,29.18,22.58,13.82
304,2017-06-07,96,6.669,27.35,21.46,66.04
310,2017-06-07,0,8.1357717238,27.9840805577,22.1786545662,37.9506835954
320,2017-06-07,96,6.037,25.46,21.9,40.64
330,2017-06-07,96,5.528,25.52,22.28,11.43
340,2017-06-07,96,5.995,26.67,22.05,20.83
350,2017-06-07,96,6.885,25.85,20.89,17.91
360,2017-06-07,96,8.004,26.81,21.73,26.21
380,2017-06-07,96,7.11,26.92,22.37,6.1
390,2017-06-07,96,9.506,26.89,20.88,11.68
405,2017-06-07,96,11.584,29.31,20.6,21.03
410,2017-06-07,96,7.765,25.55,20.86,22.53
420,2017-06-07,96,6.827,27.45,21.22,39.17
430,2017-06-07,0,8.31472401451,27.0622126796,21.1853362299,21.5016547858
440,2017-06-07,96,9.638,28.47,21.05,33.27
450,2017-06-07,96,12.854,28.5,21.42,37.36
460,2017-06-07,96,11.69,28.73,20.8,23.5
470,2017-06-07,96,5.486,29.43,21.37,71.22
480,2017-06-07,96,2.848,28.3,21.49,48.16
490,2017-06-07,96,1.703,28.71,21.26,94.23
