StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-04-26,96,23.342,28.99,14.91,0.0
130,2009-04-26,96,26.851,30.78,15.7,0.0
140,2009-04-26,96,25.738,28.65,13.78,0.0
150,2009-04-26,96,24.725,27.08,15.03,0.0
160,2009-04-26,96,27.409,30.43,11.51,0.0
170,2009-04-26,96,24.872,29.35,11.81,0.0
180,2009-04-26,92,26.457,28.54,11.65,0.0
230,2009-04-26,96,28.243,31.51,14.52,0.0
240,2009-04-26,95,26.141,28.22,13.36,0.0
250,2009-04-26,96,26.294,31.07,10.64,0.0
260,2009-04-26,96,25.979,28.21,10.56,0.0
270,2009-04-26,96,25.976,26.19,13.77,0.0
280,2009-04-26,96,29.584,29.92,15.3,0.0
290,2009-04-26,96,26.504,28.19,12.71,0.0
302,2009-04-26,96,26.859,32.27,10.76,0.0
303,2009-04-26,96,30.195,29.46,15.84,0.0
304,2009-04-26,96,26.148,28.91,15.98,0.0
310,2009-04-26,96,27.218,31.32,12.14,0.0
320,2009-04-26,96,28.096,29.54,15.07,0.0
330,2009-04-26,96,26.683,30.03,15.81,0.0
340,2009-04-26,96,0.379,28.39,10.85,0.0
350,2009-04-26,96,25.818,31.16,16.6,0.0
360,2009-04-26,96,28.953,29.74,15.77,0.0
380,2009-04-26,95,27.536,30.23,14.52,0.0
390,2009-04-26,96,25.426,30.11,16.16,0.0
405,2009-04-26,96,27.612,28.02,19.43,0.0
410,2009-04-26,96,26.694,27.06,16.3,0.0
420,2009-04-26,96,24.132,26.2,22.45,0.0
430,2009-04-26,96,27.734,27.02,20.49,0.0
440,2009-04-26,96,24.215,27.06,21.54,0.0
450,2009-04-26,96,28.182,31.74,17.16,0.0
460,2009-04-26,95,26.411,30.06,16.0,0.0
470,2009-04-26,96,25.779,31.13,15.78,0.0
480,2009-04-26,96,26.354,32.03,15.83,0.0
490,2009-04-26,96,27.232,31.65,15.87,0.0
