StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2021-09-17,96,13.898,29.04,22.91,30.48
130,2021-09-17,96,11.869,28.99,21.93,16.51
140,2021-09-17,96,10.017,31.94,22.16,3.81
150,2021-09-17,96,11.116,27.7,23.52,0.25
160,2021-09-17,96,9.665,27.97,22.29,0.0
170,2021-09-17,96,6.631,28.65,23.56,0.0
180,2021-09-17,96,9.895,30.23,22.14,0.0
230,2021-09-17,96,11.52,33.8,22.38,0.25
240,2021-09-17,96,8.575,32.33,21.72,0.25
250,2021-09-17,96,10.816,31.84,22.39,0.0
260,2021-09-17,96,10.593,31.72,22.01,8.89
270,2021-09-17,96,11.044,31.37,22.71,0.0
280,2021-09-17,96,12.485,31.1,22.27,24.89
290,2021-09-17,96,10.877,33.03,20.97,0.0
302,2021-09-17,96,9.65,30.28,23.0,0.25
303,2021-09-17,96,9.743,33.74,23.12,12.45
304,2021-09-17,96,9.932,32.93,22.07,24.64
310,2021-09-17,0,11.6611584536,32.5574769804,22.8860198486,13.2466129799
320,2021-09-17,96,15.257,33.29,22.92,17.02
330,2021-09-17,96,11.798,31.3,23.77,0.0
340,2021-09-17,96,9.575,30.09,23.19,3.05
350,2021-09-17,96,8.3,33.29,24.64,14.99
360,2021-09-17,96,13.605,32.54,23.29,0.0
380,2021-09-17,96,11.936,31.83,24.15,0.25
390,2021-09-17,0,11.980745145,32.2905677579,23.1306282094,30.8851594743
405,2021-09-17,96,15.056,30.44,22.62,9.65
410,2021-09-17,96,10.664,30.99,23.25,17.27
420,2021-09-17,96,7.454,30.34,23.39,0.25
430,2021-09-17,96,10.306,31.09,23.53,14.73
440,2021-09-17,96,13.389,32.58,22.86,0.25
450,2021-09-17,96,13.091,34.77,21.94,0.0
460,2021-09-17,96,14.594,34.48,23.29,5.84
470,2021-09-17,96,13.811,34.75,22.48,79.5
480,2021-09-17,96,16.429,33.37,22.53,63.75
490,2021-09-17,96,19.193,33.86,22.76,1.52
