StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2015-11-23,96,14.678,15.51,-0.19,0.0
130,2015-11-23,96,14.248,14.95,-1.51,0.0
140,2015-11-23,96,4.79,16.05,2.25,0.0
150,2015-11-23,96,12.092,16.13,1.66,0.0
160,2015-11-23,96,10.881,14.58,1.35,0.0
170,2015-11-23,96,6.446,16.31,2.9,0.0
180,2015-11-23,96,9.58,15.87,0.16,0.0
230,2015-11-23,96,0.013,15.28,1.75,0.0
240,2015-11-23,96,3.124,16.04,-0.16,0.0
250,2015-11-23,96,3.485,17.59,2.17,0.0
260,2015-11-23,96,2.521,16.54,3.67,0.0
270,2015-11-23,96,14.470,18.12,4.433,0.000
280,2015-11-23,96,2.18,17.49,5.71,0.0
290,2015-11-23,96,2.275,16.24,2.73,0.0
302,2015-11-23,96,1.9,18.12,4.43,0.0
303,2015-11-23,96,4.565,18.82,3.19,0.51
304,2015-11-23,96,4.167,18.92,4.27,0.0
310,2015-11-23,0,4.18439089655,18.5815583801,4.74465336881,0.208179839609
320,2015-11-23,96,2.839,17.87,4.78,0.0
330,2015-11-23,96,5.568,18.55,5.28,0.0
340,2015-11-23,96,5.403,18.79,5.81,0.0
350,2015-11-23,96,6.114,18.91,6.94,0.0
360,2015-11-23,96,6.088,19.57,5.95,0.0
380,2015-11-23,96,5.855,20.07,5.98,0.0
390,2015-11-23,96,6.894,20.51,8.38,0.0
405,2015-11-23,96,7.475,20.68,9.53,0.0
410,2015-11-23,96,6.197,19.91,7.98,0.0
420,2015-11-23,96,6.483,21.75,7.29,0.0
430,2015-11-23,0,6.31255250995,19.7619930858,7.71074089961,0.0
440,2015-11-23,96,7.569,22.7,11.82,0.0
450,2015-11-23,96,8.362,21.38,9.45,0.0
460,2015-11-23,96,8.016,21.52,9.55,0.0
470,2015-11-23,96,7.163,23.19,13.56,0.0
480,2015-11-23,96,6.665,23.88,14.47,0.0
490,2015-11-23,96,7.676,25.26,17.13,0.0
