StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2013-07-13,96,22.484,31.58,21.17,0.25
130,2013-07-13,96,23.306,30.17,20.09,9.65
140,2013-07-13,96,12.465,28.08,19.761,0.508
150,2013-07-13,96,17.626,28.72,21.21,11.18
160,2013-07-13,96,14.533,28.08,19.76,0.51
170,2013-07-13,96,8.368,26.64,20.83,5.33
180,2013-07-13,96,9.758,30.17,19.78,6.35
230,2013-07-13,96,10.918,29.34,21.44,5.84
240,2013-07-13,96,13.04,30.3,20.71,28.7
250,2013-07-13,96,7.838,30.28,21.73,9.4
260,2013-07-13,96,10.385,29.07,21.439,5.842
270,2013-07-13,96,17.925,31.48,21.528,27.940
280,2013-07-13,96,13.075,32.29,21.6,9.91
290,2013-07-13,96,15.398,29.07,21.44,5.84
302,2013-07-13,96,16.159,31.48,21.53,27.94
303,2013-07-13,96,7.995,32.24,21.62,11.07
304,2013-07-13,96,12.968,32.11,21.98,15.04
310,2013-07-13,0,12.2384838298,32.0559301198,21.6187150309,12.6994769726
320,2013-07-13,96,10.052,34.26,20.74,27.43
330,2013-07-13,96,17.305,33.13,22.35,9.88
340,2013-07-13,96,11.65,33.67,21.73,1.37
350,2013-07-13,96,14.604,34.35,21.32,4.88
360,2013-07-13,96,17.765,31.48,21.64,18.69
380,2013-07-13,96,14.727,34.53,21.77,33.07
390,2013-07-13,96,14.023,34.13,21.92,0.46
405,2013-07-13,96,22.872,30.99,20.23,7.67
410,2013-07-13,96,11.18,30.47,20.82,6.91
420,2013-07-13,96,16.174,30.96,21.63,32.36
430,2013-07-13,96,18.9,31.42,20.69,27.0
440,2013-07-13,96,16.548,30.67,20.98,5.99
450,2013-07-13,96,20.001,32.96,20.74,3.45
460,2013-07-13,96,22.568,31.74,22.02,14.3
470,2013-07-13,96,19.776,30.75,21.37,27.53
480,2013-07-13,96,12.78,30.05,21.68,123.34
490,2013-07-13,96,19.03,31.49,22.25,35.31
