StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-08-09,96,0.0,31.75,22.96,25.93
130,2009-08-09,96,18.794,36.58,22.48,0.0
140,2009-08-09,96,21.795,35.03,21.7,1.37
150,2009-08-09,96,23.216,33.61,23.18,0.0
160,2009-08-09,96,18.653,37.49,20.6,0.0
170,2009-08-09,96,23.322,35.23,22.13,0.23
180,2009-08-09,96,22.895,35.33,22.29,0.0
230,2009-08-09,96,26.868,36.66,21.72,0.0
240,2009-08-09,96,24.071,34.76,22.27,0.0
250,2009-08-09,96,22.962,36.41,21.78,0.0
260,2009-08-09,96,23.261,34.98,22.18,0.0
270,2009-08-09,96,17.331,31.72,22.86,0.0
280,2009-08-09,96,27.229,36.96,22.48,0.0
290,2009-08-09,96,23.209,33.65,22.15,1.65
302,2009-08-09,96,23.566,36.59,20.33,4.7
303,2009-08-09,96,28.287,35.68,21.91,0.0
304,2009-08-09,96,24.816,34.78,22.05,0.0
310,2009-08-09,96,24.728,36.49,20.74,0.0
320,2009-08-09,96,22.983,35.62,22.15,0.0
330,2009-08-09,96,24.995,36.12,23.47,0.0
340,2009-08-09,96,23.212,33.76,22.33,0.0
350,2009-08-09,96,23.573,36.02,22.8,0.0
360,2009-08-09,96,24.105,34.92,22.75,2.31
380,2009-08-09,96,1.989,35.51,22.53,0.0
390,2009-08-09,96,21.71,35.24,24.01,0.0
405,2009-08-09,96,22.28,33.07,23.99,0.0
410,2009-08-09,96,13.285,34.1,23.12,0.0
420,2009-08-09,96,20.715,33.18,26.31,0.0
430,2009-08-09,96,27.204,32.31,24.49,0.0
440,2009-08-09,96,20.753,34.17,23.55,3.15
450,2009-08-09,96,23.417,35.3,23.33,0.0
460,2009-08-09,96,22.806,34.52,23.81,15.54
470,2009-08-09,96,20.014,35.26,23.56,1.63
480,2009-08-09,96,25.21,35.08,22.83,0.0
490,2009-08-09,96,24.502,35.65,23.03,0.0
