StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2011-12-12,96,3.922,15.33,8.11,0.46
130,2011-12-12,96,3.045,12.96,7.18,1.14
140,2011-12-12,96,3.121,11.74,7.45,8.84
150,2011-12-12,96,4.07,21.11,9.29,0.0
160,2011-12-12,96,3.093,11.68,8.45,69.88
170,2011-12-12,96,3.795,18.71,9.34,37.85
180,2011-12-12,96,3.504,15.68,9.56,35.05
230,2011-12-12,96,6.862,16.38,14.06,0.0
240,2011-12-12,96,4.037,17.58,12.37,3.23
250,2011-12-12,96,5.338,18.05,14.07,0.25
260,2011-12-12,96,3.68,15.38,11.94,12.22
270,2011-12-12,96,4.064,18.48,13.48,66.29
280,2011-12-12,96,8.455,19.83,16.49,3.45
290,2011-12-12,96,6.574,20.06,16.51,14.22
302,2011-12-12,96,10.175,21.27,16.95,7.11
303,2011-12-12,96,9.412,22.33,17.12,0.0
304,2011-12-12,96,7.833,22.58,17.17,6.81
310,2011-12-12,96,9.096,24.26,16.04,0.0
320,2011-12-12,96,8.233,22.55,16.37,3.71
330,2011-12-12,96,8.64,23.93,16.75,1.85
340,2011-12-12,96,7.551,23.94,16.29,1.83
350,2011-12-12,96,7.147,25.22,17.34,0.0
360,2011-12-12,96,8.464,26.03,17.57,0.71
380,2011-12-12,96,6.605,25.01,18.12,2.97
390,2011-12-12,96,6.679,25.46,18.1,0.0
405,2011-12-12,96,7.907,25.24,17.69,0.0
410,2011-12-12,96,9.754,26.77,16.86,0.23
420,2011-12-12,96,12.099,27.04,17.13,0.0
430,2011-12-12,96,7.54,27.23,19.71,1.37
440,2011-12-12,96,5.377,24.97,17.63,15.21
450,2011-12-12,96,11.658,27.33,16.64,0.23
460,2011-12-12,96,8.019,28.72,16.71,0.23
470,2011-12-12,96,8.246,27.88,17.28,0.0
480,2011-12-12,96,5.654,25.42,17.15,0.0
490,2011-12-12,96,7.578,26.4,18.15,0.0
