StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2010-10-17,96,18.633,28.95,7.14,0.0
130,2010-10-17,96,19.341,30.0,5.56,0.0
140,2010-10-17,96,19.255,27.7,5.48,0.0
150,2010-10-17,96,16.127,26.63,8.29,0.0
160,2010-10-17,96,17.385,28.63,4.68,0.0
170,2010-10-17,96,17.576,27.4,6.32,0.0
180,2010-10-17,96,15.985,27.82,5.84,0.0
230,2010-10-17,96,20.398,30.26,10.66,0.0
240,2010-10-17,96,19.176,28.02,8.94,0.0
250,2010-10-17,96,18.464,30.69,8.43,0.0
260,2010-10-17,96,18.177,27.79,6.47,0.0
270,2010-10-17,96,19.067,26.75,7.61,0.0
280,2010-10-17,96,21.163,30.37,11.64,0.0
290,2010-10-17,96,19.262,28.78,10.79,0.0
302,2010-10-17,96,20.317,32.48,10.26,0.0
303,2010-10-17,96,20.515,29.38,11.27,0.0
304,2010-10-17,96,19.365,28.12,14.83,0.0
310,2010-10-17,96,20.666,29.65,8.63,0.0
320,2010-10-17,96,20.633,28.47,14.12,0.0
330,2010-10-17,96,21.079,29.37,14.17,0.0
340,2010-10-17,96,20.592,29.95,11.45,0.0
350,2010-10-17,96,20.94,29.4,11.73,0.0
360,2010-10-17,96,21.513,29.36,11.63,0.0
380,2010-10-17,96,14.587,28.82,12.31,0.0
390,2010-10-17,96,20.92,29.43,10.87,0.0
405,2010-10-17,96,20.509,30.23,12.31,0.0
410,2010-10-17,96,20.687,28.11,13.7,0.0
420,2010-10-17,96,23.071,29.05,13.16,0.0
430,2010-10-17,96,21.289,27.73,18.46,0.0
440,2010-10-17,96,19.083,27.71,14.09,0.0
450,2010-10-17,96,21.954,29.01,16.12,0.0
460,2010-10-17,96,22.363,28.85,11.66,0.0
470,2010-10-17,96,20.696,29.52,10.7,0.0
480,2010-10-17,96,19.536,31.93,12.25,0.0
490,2010-10-17,96,19.909,29.43,11.02,0.0
