StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-02-23,96,18.008,15.66,-0.1,0.0
130,2009-02-23,96,20.571,14.96,-0.2,0.0
140,2009-02-23,96,20.002,14.14,-2.11,0.0
150,2009-02-23,96,16.181,15.85,-0.21,0.0
160,2009-02-23,96,20.089,15.16,-3.43,0.0
170,2009-02-23,96,19.387,15.72,-0.21,0.0
180,2009-02-23,96,19.003,16.99,-1.56,0.0
230,2009-02-23,96,21.29,19.44,1.02,0.0
240,2009-02-23,96,19.882,17.13,2.22,0.0
250,2009-02-23,96,19.65,19.22,3.15,0.0
260,2009-02-23,96,19.642,16.99,0.31,0.0
270,2009-02-23,96,20.854,15.29,3.25,0.0
280,2009-02-23,96,22.213,20.48,4.37,0.0
290,2009-02-23,96,18.755,19.17,4.58,0.0
302,2009-02-23,96,21.179,20.94,2.25,0.0
303,2009-02-23,96,22.513,19.52,6.87,0.0
304,2009-02-23,96,19.795,19.71,7.38,0.0
310,2009-02-23,96,21.036,20.58,3.59,0.0
320,2009-02-23,96,21.075,21.06,7.84,0.0
330,2009-02-23,96,20.966,21.81,8.04,0.0
340,2009-02-23,96,15.245,22.77,8.66,0.0
350,2009-02-23,96,19.659,23.46,8.62,0.0
360,2009-02-23,96,21.513,22.35,7.63,0.0
380,2009-02-23,96,19.421,24.2,9.75,0.0
390,2009-02-23,96,19.409,22.69,10.18,0.0
405,2009-02-23,96,15.542,23.84,12.42,0.0
410,2009-02-23,96,11.609,24.53,12.52,0.0
420,2009-02-23,96,10.472,25.16,15.700,0.000
430,2009-02-23,96,19.247,22.43,11.55,0.0
440,2009-02-23,96,12.976,25.2,13.83,0.0
450,2009-02-23,96,16.354,26.23,13.13,0.0
460,2009-02-23,96,16.405,26.5,11.58,0.0
470,2009-02-23,96,17.179,24.64,10.32,0.0
480,2009-02-23,96,19.614,23.74,8.32,0.0
490,2009-02-23,96,19.245,25.24,9.36,0.0
