 Run: data/cwarner/testloc3           
 
  YR DOY Day     d_TW     d_RW    TW    RW    N_TOP   N_ROOT Tact Ract Topt Ropt  NDemand  NUptake  NSupply  NSUF  WSUF NupCum
2003  91   1 0.000257 0.001365   1.7   0.4 0.014670 0.001972 0.89 0.48 1.29 0.69 0.008537 0.000967 0.000967 0.017 1.000  0.001
2003  92   2 0.000460 0.006018   1.7   0.4 0.015484 0.002128 0.94 0.51 1.31 0.71 0.007868 0.000970 0.000970 0.069 1.000  0.002
2003  93   3 0.001036 0.006830   1.7   0.4 0.016302 0.002294 0.99 0.54 1.32 0.72 0.007217 0.000984 0.000984 0.120 1.000  0.003
2003  94   4 0.002152 0.016596   1.7   0.4 0.017081 0.002514 1.03 0.57 1.33 0.73 0.006652 0.000999 0.000999 0.192 1.000  0.004
2003  95   5 0.003874 0.024068   1.7   0.5 0.017847 0.002785 1.08 0.60 1.34 0.74 0.006159 0.001037 0.001037 0.280 1.000  0.005
2003  96   6 0.006375 0.032101   1.7   0.5 0.018609 0.003116 1.12 0.62 1.36 0.76 0.005730 0.001092 0.001092 0.384 1.000  0.006
2003  97   7 0.009832 0.041554   1.7   0.5 0.019372 0.003519 1.16 0.65 1.37 0.77 0.005376 0.001166 0.001166 0.501 1.000  0.007
2003  98   8 0.014323 0.046728   1.7   0.6 0.020174 0.003977 1.19 0.68 1.38 0.78 0.005065 0.001260 0.001260 0.625 1.000  0.008
2003  99   9 0.020095 0.044593   1.7   0.6 0.021069 0.004448 1.23 0.70 1.40 0.80 0.004740 0.001366 0.001366 0.760 1.000  0.010
2003 100  10 0.022669 0.082290   1.7   0.7 0.021815 0.005166 1.26 0.72 1.41 0.81 0.004609 0.001463 0.001463 0.925 1.000  0.011
2003 101  11 0.026324 0.077840   1.8   0.8 0.022719 0.005909 1.29 0.75 1.42 0.82 0.004411 0.001647 0.001647 1.000 1.000  0.013
2003 102  12 0.028992 0.090729   1.8   0.9 0.023663 0.006784 1.32 0.77 1.43 0.83 0.004195 0.001820 0.001820 1.000 1.000  0.015
2003 103  13 0.033519 0.090567   1.8   1.0 0.024746 0.007720 1.36 0.79 1.44 0.84 0.003911 0.002019 0.002019 1.000 1.000  0.017
2003 104  14 0.035614 0.091997   1.9   1.1 0.025947 0.008735 1.40 0.82 1.45 0.85 0.003488 0.002217 0.002217 1.000 1.000  0.019
2003 105  15 0.048221 0.087354   1.9   1.2 0.027332 0.009765 1.44 0.85 1.46 0.86 0.003114 0.002413 0.002413 1.000 1.000  0.021
2003 106  16 0.052375 0.089422   2.0   1.2 0.028830 0.010867 1.47 0.87 1.48 0.88 0.002651 0.002601 0.002601 1.000 1.000  0.024
2003 107  17 0.058564 0.089363   2.0   1.3 0.029995 0.011838 1.49 0.89 1.49 0.89 0.002136 0.002136 0.002790 1.000 1.000  0.026
2003 108  18 0.064174 0.090188   2.1   1.4 0.031223 0.012826 1.50 0.90 1.50 0.90 0.002217 0.002217 0.002976 1.000 1.000  0.028
2003 109  19 0.070046 0.062770   2.1   1.5 0.032557 0.013587 1.52 0.92 1.52 0.92 0.002095 0.002095 0.003165 1.000 1.000  0.030
2003 110  20 0.076169 0.092619   2.2   1.6 0.034003 0.014642 1.53 0.93 1.53 0.93 0.002501 0.002501 0.003292 1.000 1.000  0.033
2003 111  21 0.082572 0.094398   2.3   1.7 0.035568 0.015738 1.54 0.94 1.54 0.94 0.002660 0.002660 0.003483 1.000 1.000  0.036
2003 112  22 0.088842 0.096189   2.4   1.8 0.037250 0.016874 1.55 0.95 1.55 0.95 0.002819 0.002819 0.003676 1.000 1.000  0.038
2003 113  23 0.096130 0.096343   2.5   1.9 0.039072 0.018038 1.57 0.97 1.57 0.97 0.002986 0.002986 0.003871 1.000 1.000  0.041
2003 114  24 0.101095 0.100008   2.6   2.0 0.040990 0.019258 1.58 0.98 1.58 0.98 0.003138 0.003138 0.004065 1.000 1.000  0.045
2003 115  25 0.110613 0.098511   2.7   2.1 0.043093 0.020495 1.59 0.99 1.59 0.99 0.003340 0.003340 0.004264 1.000 1.000  0.048
2003 116  26 0.016779 0.001864   2.7   2.1 0.043717 0.020784 1.61 1.01 1.61 1.01 0.000914 0.000914 0.004459 1.000 1.000  0.049
2003 117  27 0.125632 0.047416   2.8   2.1 0.046109 0.021539 1.62 1.02 1.62 1.02 0.003147 0.003147 0.004449 1.000 1.000  0.052
2003 118  28 0.133842 0.038314   3.0   2.2 0.048668 0.022212 1.63 1.03 1.63 1.03 0.003232 0.003232 0.004541 1.000 1.000  0.055
2003 119  29 0.136040 0.104612   3.1   2.3 0.051281 0.023576 1.65 1.05 1.65 1.05 0.003977 0.003977 0.004600 1.000 1.000  0.059
2003 120  30 0.046530 0.005170   3.2   2.3 0.052462 0.023926 1.66 1.06 1.66 1.06 0.001531 0.001531 0.004803 1.000 1.000  0.061
2003 121  31 0.158809 0.079265   3.3   2.3 0.055532 0.025072 1.67 1.07 1.67 1.07 0.004216 0.004216 0.004798 1.000 1.000  0.065
2003 122  32 0.168013 0.106032   3.5   2.4 0.058798 0.026530 1.68 1.08 1.68 1.08 0.004724 0.004724 0.004942 1.000 1.000  0.070
