 Run: data/cwarner/testdate2          
 
  YR DOY DAY      LA   LAI    TW    RW     DT SRad TMIN TMAX    Ra   Ir   CF  P_Ra  P_Ir    Sw  P_Dr    Ro P_Et    HT   Et   P_Ar
2000  32   1   150.0  0.68   1.6   0.4    6.5 15.1 -1.7 15.5  0.00 0.00 1.00  0.00  0.00 5.752  0.00  0.00 0.22  14.0 0.20  221.7
2000  33   2   150.0  0.68   1.7   0.4    6.8 15.3  2.3 16.9  0.00 0.00 1.00  0.00  0.00 5.515  0.00  0.00 0.24  14.0 0.22  221.7
2000  34   3   150.0  0.68   1.7   0.4    7.2 13.8  1.6 20.0  0.00 0.45 1.00  0.00  0.45 5.748  0.00  0.04 0.22  14.0 0.20  221.7
2000  35   4   150.1  0.68   1.7   0.4    7.4 16.2  1.0 20.9  0.00 0.00 1.00  0.00  0.00 5.487  0.00  0.00 0.26  14.0 0.24  221.7
2000  36   5   150.1  0.68   1.7   0.4    7.5 17.6 -3.2 12.6  0.00 0.48 1.00  0.00  0.48 5.733  0.00  0.04 0.24  14.0 0.21  221.7
2000  37   6   150.1  0.68   1.7   0.4    7.5 17.8 -5.8 17.1  0.00 0.00 1.00  0.00  0.00 5.487  0.00  0.00 0.25  14.0 0.22  221.7
2000  38   7   150.2  0.68   1.7   0.4    7.6 17.1 -2.3 19.1  0.00 0.48 1.00  0.00  0.48 5.712  0.00  0.04 0.26  14.0 0.23  221.7
2000  39   8   150.4  0.68   1.7   0.5    7.9 13.7  0.7 19.9  0.00 0.00 1.00  0.00  0.00 5.495  0.00  0.00 0.22  14.0 0.20  221.7
2000  40   9   150.6  0.68   1.7   0.5    8.2 16.8  0.2 19.7  0.00 0.47 1.00  0.00  0.47 5.705  0.00  0.04 0.26  14.0 0.24  221.7
2000  41  10   150.7  0.68   1.7   0.5    8.4 17.1 -0.6 22.3  0.00 0.00 1.00  0.00  0.00 5.431  0.00  0.00 0.27  14.0 0.25  221.7
2000  42  11   151.1  0.68   1.7   0.6    8.8 12.2  4.0 22.9  0.00 0.54 1.00  0.00  0.54 5.760  0.00  0.05 0.21  14.0 0.19  221.7
2000  43  12   151.8  0.68   1.7   0.6    9.5  9.1 10.7 23.3  0.00 0.00 1.00  0.00  0.00 5.593  0.00  0.00 0.17  14.1 0.15  221.7
2000  44  13   152.4  0.69   1.7   0.7   10.1 12.9  8.9 25.2  0.00 0.38 1.00  0.00  0.38 5.730  0.00  0.03 0.24  14.1 0.22  221.7
2000  45  14   153.6  0.69   1.7   0.7   11.0  3.4 16.1 20.6  1.45 0.00 1.00  1.45  0.00 5.904  1.21  1.23 0.06  14.1 0.06  221.7
2000  46  15   154.4  0.70   1.7   0.7   11.6 18.7  6.4 24.0  0.00 0.00 1.00  0.00  0.00 5.571  0.00  0.00 0.33  14.2 0.30  221.7
2000  47  16   155.1  0.70   1.7   0.8   12.0 16.7  4.3 27.5  0.00 0.40 1.00  0.00  0.40 5.667  0.00  0.04 0.30  14.2 0.27  221.7
