 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubN	SubN	SubN	DrCm3	DrCm3	DrCm3	DrNconc	DrNconc	DrNconc	DrainN	DrainN	DrainN	NReleas	NReleas	NReleas	NUptake	NUptake	NUptake	CumDr	CumDr	CumDr	CumDrN	CumDrN	CumDrN	ROcm3	ROcm3	ROcm3	RO_Ncon	RO_Ncon	RO_Ncon	Ro_N	Ro_N	Ro_N	CumRoN	CumRoN	CumRoN	THRU_N	THRU_N	THRU_N	IrN	IrN	IrN	CumIrN	CumIrN	CumIrN
328	14	1	0.54117	0.54117	0.54117	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00196	0.00196	0.00196	0.00068	0.00068	0.00068	498.7	498.7	498.7	0.06722	0.06722	0.06722	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.06722	0.06722	0.06722	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
329	15	1	0.54258	0.54258	0.54258	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00229	0.00229	0.00229	0.00088	0.00088	0.00088	498.7	498.7	498.7	0.06722	0.06722	0.06722	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.06722	0.06722	0.06722	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
330	16	1	0.54439	0.54439	0.54439	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00274	0.00274	0.00274	0.00093	0.00093	0.00093	498.7	498.7	498.7	0.06722	0.06722	0.06722	10.3	10.3	10.3	0.00000	0.00000	0	0.00000	0.00000	0	0.06722	0.06722	0.06722	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
331	17	1	0.54655	0.54655	0.54655	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00317	0.00317	0.00317	0.00102	0.00102	0.00102	498.7	498.7	498.7	0.06722	0.06722	0.06722	6.3	6.3	6.3	0.00000	0.00000	0	0.00000	0.00000	0	0.06722	0.06722	0.06722	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
332	18	1	0.54169	0.54169	0.54169	32.2	32.2	32.2	0.00020	0.00020	0.00020	0.00667	0.00667	0.00667	0.00283	0.00283	0.00283	0.00102	0.00102	0.00102	530.9	530.9	530.9	0.07388	0.07388	0.07388	46.1	46.1	46.1	0.00014	0.00014	0.00014	0.00667	0.00667	0.00667	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
333	19	1	0.54350	0.54350	0.54350	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00222	0.00222	0.00222	0.00041	0.00041	0.00041	530.9	530.9	530.9	0.07388	0.07388	0.07388	0.4	0.4	0.4	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
334	20	1	0.54540	0.54540	0.54540	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00202	0.00202	0.00202	0.00012	0.00012	0.00012	530.9	530.9	530.9	0.07388	0.07388	0.07388	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
335	21	1	0.54735	0.54735	0.54735	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00223	0.00223	0.00223	0.00027	0.00027	0.00027	530.9	530.9	530.9	0.07388	0.07388	0.07388	7.8	7.8	7.8	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
336	22	1	0.54941	0.54941	0.54941	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00273	0.00273	0.00273	0.00067	0.00067	0.00067	530.9	530.9	530.9	0.07388	0.07388	0.07388	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
337	23	1	0.55171	0.55171	0.55171	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00316	0.00316	0.00316	0.00086	0.00086	0.00086	530.9	530.9	530.9	0.07388	0.07388	0.07388	11.3	11.3	11.3	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
338	24	1	0.55438	0.55438	0.55438	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00385	0.00385	0.00385	0.00118	0.00118	0.00118	530.9	530.9	530.9	0.07388	0.07388	0.07388	6.4	6.4	6.4	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
339	25	1	0.55749	0.55749	0.55749	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00401	0.00401	0.00401	0.00090	0.00090	0.00090	530.9	530.9	530.9	0.07388	0.07388	0.07388	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
