 Run: data/cwarner/testloc1           
 
  YR DOY Day     d_TW     d_RW    TW    RW    N_TOP   N_ROOT Tact Ract Topt Ropt  NDemand  NUptake  NSupply  NSUF  WSUF NupCum
2003  91   1 0.000222 0.000904   1.7   0.4 0.014678 0.001964 0.89 0.48 1.29 0.69 0.008424 0.000967 0.000967 0.017 1.000  0.001
2003  92   2 0.000182 0.005936   1.7   0.4 0.015500 0.002111 0.94 0.50 1.29 0.69 0.007610 0.000969 0.000969 0.074 1.000  0.002
2003  93   3 0.000473 0.012056   1.7   0.4 0.016300 0.002294 0.99 0.53 1.30 0.70 0.006871 0.000982 0.000982 0.134 1.000  0.003
2003  94   4 0.001278 0.018927   1.7   0.5 0.017081 0.002523 1.03 0.56 1.31 0.71 0.006239 0.001010 0.001010 0.217 1.000  0.004
2003  95   5 0.002633 0.012148   1.7   0.5 0.017923 0.002733 1.08 0.59 1.32 0.72 0.005583 0.001053 0.001053 0.321 1.000  0.005
2003  96   6 0.005462 0.038419   1.7   0.5 0.018643 0.003094 1.12 0.62 1.33 0.73 0.005162 0.001081 0.001081 0.459 1.000  0.006
2003  97   7 0.008490 0.037329   1.7   0.5 0.019431 0.003475 1.16 0.65 1.35 0.75 0.004758 0.001168 0.001168 0.586 1.000  0.007
2003  98   8 0.011767 0.009582   1.7   0.5 0.020438 0.003721 1.22 0.68 1.36 0.76 0.004088 0.001253 0.001253 0.747 1.000  0.008
2003  99   9 0.011780 0.019732   1.7   0.6 0.021403 0.004027 1.26 0.71 1.37 0.77 0.003324 0.001271 0.001271 1.000 1.000  0.010
2003 100  10 0.004950 0.003964   1.7   0.6 0.022486 0.004255 1.32 0.74 1.37 0.77 0.002222 0.001312 0.001312 1.000 1.000  0.011
2003 101  11 0.010365 0.071305   1.7   0.6 0.023147 0.004914 1.36 0.76 1.38 0.78 0.001747 0.001320 0.001320 1.000 1.000  0.012
2003 102  12 0.010611 0.089946   1.7   0.7 0.023747 0.005730 1.38 0.78 1.38 0.78 0.001415 0.001415 0.001480 1.000 1.000  0.014
2003 103  13 0.014600 0.093367   1.7   0.8 0.024079 0.006523 1.39 0.79 1.39 0.79 0.001125 0.001125 0.001680 1.000 1.000  0.015
2003 104  14 0.017845 0.092752   1.8   0.9 0.024476 0.007333 1.40 0.80 1.40 0.80 0.001207 0.001207 0.001885 1.000 1.000  0.016
