 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	LA	LA	LA	LAI	LAI	LAI	TW	TW	TW	RW	RW	RW	DT	DT	DT	SRad	SRad	SRad	TMIN	TMIN	TMIN	TMAX	TMAX	TMAX	Ra	Ra	Ra	Ir	Ir	Ir	CF	CF	CF	P_Ra	P_Ra	P_Ra	P_Ir	P_Ir	P_Ir	Sw	Sw	Sw	P_Dr	P_Dr	P_Dr	Ro	Ro	Ro	P_Et	P_Et	P_Et	HT	HT	HT	Et	Et	Et	P_Ar	P_Ar	P_Ar
359	45	1	241.8	241.8	241.8	1.09	1.09	1.09	2.6	2.6	2.6	2.3	2.3	2.3	27.8	27.8	27.8	9.2	9.2	9.2	12.9	12.9	12.9	25.1	25.1	25.1	0.00	0.00	0	0.46	0.46	0.46	1.00	1.00	1	0.00	0.00	0	0.46	0.46	0.46	5.717	5.717	5.717	0.00	0.00	0	0.04	0.04	0.04	0.25	0.25	0.25	17.7	17.7	17.7	0.23	0.23	0.23	221.7	221.7	221.7
360	46	1	249.0	249.0	249	1.12	1.12	1.12	2.7	2.7	2.7	2.3	2.3	2.3	28.6	28.6	28.6	6.9	6.9	6.9	11.8	11.8	11.8	21.9	21.9	21.9	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.544	5.544	5.544	0.00	0.00	0	0.00	0.00	0	0.17	0.17	0.17	17.9	17.9	17.9	0.16	0.16	0.16	221.7	221.7	221.7
361	47	1	255.0	255.0	255	1.15	1.15	1.15	2.8	2.8	2.8	2.3	2.3	2.3	29.2	29.2	29.2	9.0	9.0	9	8.1	8.1	8.1	20.4	20.4	20.4	0.57	0.57	0.57	0.42	0.42	0.42	1.00	1.00	1	0.57	0.57	0.57	0.42	0.42	0.42	5.968	5.968	5.968	0.37	0.37	0.37	0.42	0.42	0.42	0.20	0.20	0.2	18.1	18.1	18.1	0.19	0.19	0.19	221.7	221.7	221.7
362	48	1	256.0	256.0	256	1.15	1.15	1.15	2.8	2.8	2.8	2.3	2.3	2.3	29.4	29.4	29.4	6.1	6.1	6.1	0.4	0.4	0.4	16.9	16.9	16.9	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.830	5.830	5.83	0.00	0.00	0	0.00	0.00	0	0.14	0.14	0.14	18.2	18.2	18.2	0.13	0.13	0.13	221.7	221.7	221.7
363	49	1	259.6	259.6	259.6	1.17	1.17	1.17	2.8	2.8	2.8	2.4	2.4	2.4	29.7	29.7	29.7	12.7	12.7	12.7	2.2	2.2	2.2	18.9	18.9	18.9	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.577	5.577	5.577	0.00	0.00	0	0.00	0.00	0	0.25	0.25	0.25	18.3	18.3	18.3	0.23	0.23	0.23	221.7	221.7	221.7
364	50	1	263.5	263.5	263.5	1.19	1.19	1.19	2.9	2.9	2.9	2.4	2.4	2.4	30.1	30.1	30.1	12.3	12.3	12.3	2.7	2.7	2.7	21.4	21.4	21.4	0.00	0.00	0	0.39	0.39	0.39	1.00	1.00	1	0.00	0.00	0	0.39	0.39	0.39	5.693	5.693	5.693	0.00	0.00	0	0.04	0.04	0.04	0.28	0.28	0.28	18.4	18.4	18.4	0.25	0.25	0.25	221.7	221.7	221.7
365	51	1	270.3	270.3	270.3	1.22	1.22	1.22	2.9	2.9	2.9	2.4	2.4	2.4	30.7	30.7	30.7	6.1	6.1	6.1	8.8	8.8	8.8	25.2	25.2	25.2	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.480	5.480	5.48	0.00	0.00	0	0.00	0.00	0	0.21	0.21	0.21	18.7	18.7	18.7	0.19	0.19	0.19	221.7	221.7	221.7
1	52	1	277.1	277.1	277.1	1.25	1.25	1.25	3.0	3.0	3	2.4	2.4	2.4	31.3	31.3	31.3	11.2	11.2	11.2	8.3	8.3	8.3	23.5	23.5	23.5	0.00	0.00	0	0.49	0.49	0.49	1.00	1.00	1	0.00	0.00	0	0.49	0.49	0.49	5.690	5.690	5.69	0.00	0.00	0	0.05	0.05	0.05	0.28	0.28	0.28	18.9	18.9	18.9	0.25	0.25	0.25	221.7	221.7	221.7
2	53	1	281.9	281.9	281.9	1.27	1.27	1.27	3.1	3.1	3.1	2.4	2.4	2.4	31.7	31.7	31.7	9.9	9.9	9.9	4.1	4.1	4.1	17.7	17.7	17.7	0.11	0.11	0.11	0.00	0.00	0	1.00	1.00	1	0.11	0.11	0.11	0.00	0.00	0	5.602	5.602	5.602	0.00	0.00	0	0.01	0.01	0.01	0.20	0.20	0.2	19.0	19.0	19	0.18	0.18	0.18	221.7	221.7	221.7
3	54	1	281.9	281.9	281.9	1.27	1.27	1.27	3.1	3.1	3.1	2.4	2.4	2.4	31.7	31.7	31.7	13.0	13.0	13	-5.0	-5.0	-5	7.5	7.5	7.5	0.00	0.00	0	0.37	0.37	0.37	1.00	1.00	1	0.00	0.00	0	0.37	0.37	0.37	5.807	5.807	5.807	0.00	0.00	0	0.03	0.03	0.03	0.16	0.16	0.16	19.0	19.0	19	0.15	0.15	0.15	221.7	221.7	221.7
4	55	1	281.9	281.9	281.9	1.27	1.27	1.27	3.1	3.1	3.1	2.4	2.4	2.4	31.7	31.7	31.7	13.1	13.1	13.1	-7.7	-7.7	-7.7	13.3	13.3	13.3	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.611	5.611	5.611	0.00	0.00	0	0.00	0.00	0	0.20	0.20	0.2	19.0	19.0	19	0.18	0.18	0.18	221.7	221.7	221.7
5	56	1	282.8	282.8	282.8	1.28	1.28	1.28	3.1	3.1	3.1	2.5	2.5	2.5	31.8	31.8	31.8	13.1	13.1	13.1	-3.7	-3.7	-3.7	19.9	19.9	19.9	0.00	0.00	0	0.36	0.36	0.36	1.00	1.00	1	0.00	0.00	0	0.36	0.36	0.36	5.705	5.705	5.705	0.00	0.00	0	0.03	0.03	0.03	0.26	0.26	0.26	19.1	19.1	19.1	0.24	0.24	0.24	221.7	221.7	221.7
6	57	1	287.7	287.7	287.7	1.30	1.30	1.3	3.1	3.1	3.1	2.5	2.5	2.5	32.2	32.2	32.2	11.7	11.7	11.7	3.7	3.7	3.7	21.8	21.8	21.8	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.435	5.435	5.435	0.00	0.00	0	0.00	0.00	0	0.27	0.27	0.27	19.2	19.2	19.2	0.25	0.25	0.25	221.7	221.7	221.7
7	58	1	293.6	293.6	293.6	1.32	1.32	1.32	3.2	3.2	3.2	2.5	2.5	2.5	32.7	32.7	32.7	11.9	11.9	11.9	5.6	5.6	5.6	23.5	23.5	23.5	0.00	0.00	0	0.53	0.53	0.53	1.00	1.00	1	0.00	0.00	0	0.53	0.53	0.53	5.674	5.674	5.674	0.00	0.00	0	0.05	0.05	0.05	0.29	0.29	0.29	19.4	19.4	19.4	0.27	0.27	0.27	221.7	221.7	221.7
8	59	1	299.1	299.1	299.1	1.35	1.35	1.35	3.3	3.3	3.3	2.6	2.6	2.6	33.1	33.1	33.1	9.3	9.3	9.3	4.5	4.5	4.5	25.7	25.7	25.7	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.388	5.388	5.388	0.00	0.00	0	0.00	0.00	0	0.29	0.29	0.29	19.6	19.6	19.6	0.26	0.26	0.26	221.7	221.7	221.7
9	60	1	305.7	305.7	305.7	1.38	1.38	1.38	3.3	3.3	3.3	2.6	2.6	2.6	33.7	33.7	33.7	12.4	12.4	12.4	6.3	6.3	6.3	25.1	25.1	25.1	0.00	0.00	0	0.58	0.58	0.58	1.00	1.00	1	0.00	0.00	0	0.58	0.58	0.58	5.642	5.642	5.642	0.00	0.00	0	0.05	0.05	0.05	0.33	0.33	0.33	19.8	19.8	19.8	0.30	0.30	0.3	221.7	221.7	221.7
10	61	1	312.5	312.5	312.5	1.41	1.41	1.41	3.4	3.4	3.4	2.7	2.7	2.7	34.2	34.2	34.2	12.4	12.4	12.4	6.3	6.3	6.3	25.1	25.1	25.1	0.00	0.00	0	0.33	0.33	0.33	1.00	1.00	1	0.00	0.00	0	0.33	0.33	0.33	5.642	5.642	5.642	0.00	0.00	0	0.03	0.03	0.03	0.33	0.33	0.33	20.0	20.0	20	0.30	0.30	0.3	221.7	221.7	221.7
