 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	LA	LA	LA	LAI	LAI	LAI	TW	TW	TW	RW	RW	RW	DT	DT	DT	SRad	SRad	SRad	TMIN	TMIN	TMIN	TMAX	TMAX	TMAX	Ra	Ra	Ra	Ir	Ir	Ir	CF	CF	CF	P_Ra	P_Ra	P_Ra	P_Ir	P_Ir	P_Ir	Sw	Sw	Sw	P_Dr	P_Dr	P_Dr	Ro	Ro	Ro	P_Et	P_Et	P_Et	HT	HT	HT	Et	Et	Et	P_Ar	P_Ar	P_Ar
326	12	1	152.2	152.2	152.2	0.69	0.69	0.69	1.6	1.6	1.6	1.5	1.5	1.5	8.3	8.3	8.3	13.1	13.1	13.1	12.9	12.9	12.9	28.0	28.0	28	0.00	0.00	0	0.57	0.57	0.57	1.00	1.00	1	0.00	0.00	0	0.57	0.57	0.57	5.596	5.596	5.596	0.00	0.00	0	0.05	0.05	0.05	0.37	0.37	0.37	14.1	14.1	14.1	0.34	0.34	0.34	221.7	221.7	221.7
327	13	1	153.1	153.1	153.1	0.69	0.69	0.69	1.6	1.6	1.6	1.5	1.5	1.5	9.1	9.1	9.1	8.5	8.5	8.5	13.3	13.3	13.3	25.0	25.0	25	1.04	1.04	1.04	0.37	0.37	0.37	1.00	1.00	1	1.04	1.04	1.04	0.37	0.37	0.37	5.968	5.968	5.968	0.81	0.81	0.81	0.86	0.86	0.86	0.23	0.23	0.23	14.1	14.1	14.1	0.21	0.21	0.21	221.7	221.7	221.7
328	14	1	153.9	153.9	153.9	0.69	0.69	0.69	1.6	1.6	1.6	1.6	1.6	1.6	9.7	9.7	9.7	7.4	7.4	7.4	9.3	9.3	9.3	20.7	20.7	20.7	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.790	5.790	5.79	0.00	0.00	0	0.00	0.00	0	0.18	0.18	0.18	14.2	14.2	14.2	0.16	0.16	0.16	221.7	221.7	221.7
329	15	1	154.9	154.9	154.9	0.70	0.70	0.7	1.6	1.6	1.6	1.6	1.6	1.6	10.3	10.3	10.3	13.5	13.5	13.5	8.9	8.9	8.9	23.9	23.9	23.9	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.468	5.468	5.468	0.00	0.00	0	0.00	0.00	0	0.32	0.32	0.32	14.2	14.2	14.2	0.29	0.29	0.29	221.7	221.7	221.7
330	16	1	156.1	156.1	156.1	0.70	0.70	0.7	1.7	1.7	1.7	1.6	1.6	1.6	11.0	11.0	11	10.1	10.1	10.1	10.4	10.4	10.4	26.7	26.7	26.7	0.00	0.00	0	0.50	0.50	0.5	1.00	1.00	1	0.00	0.00	0	0.50	0.50	0.5	5.665	5.665	5.665	0.00	0.00	0	0.05	0.05	0.05	0.30	0.30	0.3	14.3	14.3	14.3	0.27	0.27	0.27	221.7	221.7	221.7
331	17	1	157.6	157.6	157.6	0.71	0.71	0.71	1.7	1.7	1.7	1.7	1.7	1.7	11.8	11.8	11.8	12.7	12.7	12.7	12.5	12.5	12.5	27.3	27.3	27.3	0.00	0.00	0	0.30	0.30	0.3	1.00	1.00	1	0.00	0.00	0	0.30	0.30	0.3	5.615	5.615	5.615	0.00	0.00	0	0.03	0.03	0.03	0.35	0.35	0.35	14.4	14.4	14.4	0.32	0.32	0.32	221.7	221.7	221.7
332	18	1	159.2	159.2	159.2	0.72	0.72	0.72	1.7	1.7	1.7	1.7	1.7	1.7	12.5	12.5	12.5	11.7	11.7	11.7	11.2	11.2	11.2	22.8	22.8	22.8	0.32	0.32	0.32	0.35	0.35	0.35	1.00	1.00	1	0.32	0.32	0.32	0.35	0.35	0.35	5.858	5.858	5.858	0.16	0.16	0.16	0.21	0.21	0.21	0.27	0.27	0.27	14.4	14.4	14.4	0.25	0.25	0.25	221.7	221.7	221.7
333	19	1	160.3	160.3	160.3	0.72	0.72	0.72	1.7	1.7	1.7	1.7	1.7	1.7	12.9	12.9	12.9	3.1	3.1	3.1	5.6	5.6	5.6	17.1	17.1	17.1	0.02	0.02	0.02	0.00	0.00	0	1.00	1.00	1	0.02	0.02	0.02	0.00	0.00	0	5.791	5.791	5.791	0.00	0.00	0	0.00	0.00	0	0.09	0.09	0.09	14.5	14.5	14.5	0.08	0.08	0.08	221.7	221.7	221.7
334	20	1	160.6	160.6	160.6	0.72	0.72	0.72	1.7	1.7	1.7	1.7	1.7	1.7	13.1	13.1	13.1	11.8	11.8	11.8	1.3	1.3	1.3	14.5	14.5	14.5	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.591	5.591	5.591	0.00	0.00	0	0.00	0.00	0	0.20	0.20	0.2	14.5	14.5	14.5	0.18	0.18	0.18	221.7	221.7	221.7
335	21	1	161.2	161.2	161.2	0.73	0.73	0.73	1.7	1.7	1.7	1.7	1.7	1.7	13.3	13.3	13.3	13.0	13.0	13	-1.2	-1.2	-1.2	19.3	19.3	19.3	0.00	0.00	0	0.38	0.38	0.38	1.00	1.00	1	0.00	0.00	0	0.38	0.38	0.38	5.709	5.709	5.709	0.00	0.00	0	0.04	0.04	0.04	0.26	0.26	0.26	14.5	14.5	14.5	0.24	0.24	0.24	221.7	221.7	221.7
