 Run: data/cwarner/testloc1           
 
  YR DOY DAY      LA   LAI    TW    RW     DT SRad TMIN TMAX    Ra   Ir   CF  P_Ra  P_Ir    Sw  P_Dr    Ro P_Et    HT   Et   P_Ar
2003  91   1   150.0  0.68   1.7   0.4    6.7 24.9  0.6 22.7  0.00 0.00 1.00  0.00  0.00 5.559  0.00  0.00 0.41  14.0 0.37  221.7
2003  92   2   150.0  0.68   1.7   0.4    7.1 25.5  3.7 25.0  0.00 0.41 1.00  0.00  0.41 5.521  0.00  0.04 0.45  14.0 0.41  221.7
2003  93   3   150.1  0.68   1.7   0.4    7.6 23.1  6.3 25.9  0.00 0.45 1.00  0.00  0.45 5.548  0.00  0.04 0.42  14.0 0.38  221.7
2003  94   4   150.2  0.68   1.7   0.5    8.3 21.4 11.5 27.7  0.00 0.42 1.00  0.00  0.42 5.552  0.00  0.04 0.42  14.0 0.38  221.7
2003  95   5   150.4  0.68   1.7   0.5    9.2  8.4 14.2 24.8  0.07 0.42 1.00  0.07  0.42 5.806  0.07  0.11 0.16  14.0 0.15  221.7
2003  96   6   150.9  0.68   1.7   0.5   10.2 19.3 18.7 29.6  0.00 0.00 1.00  0.00  0.00 5.402  0.00  0.00 0.40  14.0 0.37  221.7
2003  97   7   151.7  0.68   1.7   0.5   11.2 14.1 18.2 28.6  0.00 0.57 1.00  0.00  0.57 5.677  0.00  0.05 0.29  14.1 0.26  221.7
2003  98   8   152.8  0.69   1.7   0.5   12.1  3.6 16.0 20.0  2.96 0.00 1.00  2.96  0.00 5.901  2.67  2.70 0.07  14.1 0.06  221.7
2003  99   9   153.8  0.69   1.7   0.6   12.7  6.3  8.5 18.3  0.73 0.00 1.00  0.73  0.00 5.861  0.66  0.67 0.11  14.1 0.10  221.7
2003 100  10   154.3  0.70   1.7   0.6   12.9  6.8  6.4 11.3  0.00 0.00 1.00  0.00  0.00 5.759  0.00  0.00 0.10  14.2 0.09  221.7
2003 101  11   155.2  0.70   1.7   0.6   13.4 23.3  5.3 21.1  0.00 0.00 1.00  0.00  0.00 5.362  0.00  0.00 0.40  14.2 0.36  221.7
2003 102  12   156.2  0.70   1.7   0.7   13.9 25.8  4.8 25.5  0.00 0.61 1.00  0.00  0.61 5.508  0.00  0.06 0.46  14.2 0.42  221.7
2003 103  13   157.5  0.71   1.7   0.8   14.4 25.0  7.8 28.4  0.00 0.46 1.00  0.00  0.46 5.495  0.00  0.04 0.47  14.3 0.43  221.7
2003 104  14   159.1  0.72   1.8   0.9   15.1 24.6  9.5 29.9  0.00 0.47 1.00  0.00  0.47 5.488  0.00  0.04 0.48  14.3 0.44  221.7
2003 105  15   161.3  0.73   1.8   1.0   15.9 24.0 13.2 28.1  0.00 0.48 1.00  0.00  0.48 5.492  0.00  0.04 0.48  14.4 0.43  221.7
2003 106  16   163.7  0.74   1.8   1.1   16.7 20.2 12.4 27.9  0.00 0.48 1.00  0.00  0.48 5.572  0.00  0.04 0.40  14.5 0.36  221.7
2003 107  17   165.9  0.75   1.8   1.2   17.3 18.2 10.3 27.3  0.00 0.40 1.00  0.00  0.40 5.620  0.00  0.04 0.35  14.6 0.32  221.7
2003 108  18   169.4  0.76   1.9   1.3   18.3 19.2 17.2 28.8  0.00 0.35 1.00  0.00  0.35 5.573  0.00  0.03 0.39  14.7 0.36  221.7
2003 109  19   172.9  0.78   1.9   1.4   19.2 18.7 15.2 29.2  0.00 0.39 1.00  0.00  0.39 5.589  0.00  0.04 0.38  14.8 0.34  221.7
2003 110  20   177.0  0.80   1.9   1.5   20.1 22.3 16.5 29.1  0.00 0.38 1.00  0.00  0.38 5.511  0.00  0.04 0.46  15.0 0.42  221.7
2003 111  21   181.2  0.82   2.0   1.5   21.0 13.2 14.9 27.9  0.40 0.46 1.00  0.40  0.46 5.704  0.40  0.44 0.26  15.1 0.24  221.7
2003 112  22   185.1  0.83   2.0   1.6   21.7 26.7 11.9 25.3  0.00 0.00 1.00  0.00  0.00 5.193  0.00  0.00 0.51  15.3 0.46  221.7
2003 113  23   188.5  0.85   2.1   1.7   22.4 26.8  9.1 25.2  0.00 0.77 1.00  0.00  0.77 5.470  0.00  0.07 0.50  15.4 0.45  221.7
2003 114  24   192.4  0.87   2.1   1.8   23.0 16.2  9.8 24.4  0.00 0.50 1.00  0.00  0.50 5.669  0.00  0.05 0.30  15.5 0.27  221.7
2003 115  25   197.7  0.89   2.2   1.8   23.9  4.7 14.6 20.4  3.73 0.30 1.00  3.73  0.30 5.881  3.73  3.76 0.09  15.7 0.08  221.7
2003 116  26   203.2  0.92   2.2   1.9   24.7 26.6 14.1 25.8  0.02 0.00 1.00  0.02  0.00 5.380  0.00  0.00 0.52  15.8 0.47  221.7
2003 117  27   208.7  0.94   2.3   2.0   25.5 24.7 12.6 27.3  0.00 0.59 1.00  0.00  0.59 5.485  0.00  0.05 0.48  16.0 0.44  221.7
2003 118  28   214.8  0.97   2.4   2.1   26.3 23.3 13.8 27.5  0.00 0.48 1.00  0.00  0.48 5.507  0.00  0.05 0.46  16.1 0.42  221.7
2003 119  29   221.6  1.00   2.5   2.2   27.2 24.9 14.3 29.8  0.00 0.46 1.00  0.00  0.46 5.463  0.00  0.04 0.51  16.3 0.46  221.7
2003 120  30   229.1  1.03   2.5   2.3   28.1 23.5 15.4 29.3  0.00 0.51 1.00  0.00  0.51 5.489  0.00  0.05 0.48  16.5 0.43  221.7
2003 121  31   237.6  1.07   2.6   2.4   29.0 19.4 16.8 30.8  0.00 0.48 1.00  0.00  0.48 5.565  0.00  0.04 0.40  16.7 0.37  221.7
2003 122  32   247.2  1.11   2.8   2.5   30.0 21.8 18.2 31.8  0.00 0.40 1.00  0.00  0.40 5.506  0.00  0.04 0.46  16.9 0.42  221.7
2003 123  33   257.2  1.16   2.9   2.6   31.0 12.0 17.8 27.2  1.91 0.46 1.00  1.91  0.46 5.724  1.91  1.95 0.24  17.2 0.22  221.7
2003 124  34   267.3  1.21   3.0   2.7   31.9 26.2 16.4 31.9  0.00 0.00 1.00  0.00  0.00 5.175  0.00  0.00 0.55  17.4 0.50  221.7
2003 125  35   278.6  1.26   3.1   2.8   32.9 21.9 19.8 30.4  0.00 0.79 1.00  0.00  0.79 5.504  0.00  0.07 0.46  17.7 0.42  221.7
2003 126  36   290.6  1.31   3.3   2.9   33.9 19.6 22.0 32.1  0.00 0.46 1.00  0.00  0.46 5.541  0.00  0.04 0.43  18.0 0.39  221.7
2003 127  37   303.2  1.37   3.4   3.0   34.9 22.2 21.6 32.0  0.00 0.43 1.00  0.00  0.43 5.486  0.00  0.04 0.48  18.3 0.44  221.7
2003 128  38   316.5  1.43   3.6   3.1   35.9 21.4 20.8 32.9  0.00 0.48 1.00  0.00  0.48 5.503  0.00  0.04 0.47  18.6 0.42  221.7
2003 129  39   330.4  1.49   3.7   3.2   36.9 23.3 19.5 33.4  0.00 0.47 1.00  0.00  0.47 5.464  0.00  0.04 0.50  19.0 0.46  221.7
2003 130  40   345.0  1.56   3.9   3.3   37.9 22.6 19.3 32.7  0.00 0.50 1.00  0.00  0.50 5.483  0.00  0.05 0.49  19.3 0.44  221.7
2003 131  41   360.3  1.63   4.1   3.5   38.9 24.7 21.0 33.4  0.00 0.49 1.00  0.00  0.49 5.429  0.00  0.05 0.54  19.7 0.49  221.7
2003 132  42   373.9  1.69   4.3   3.6   39.8 25.6 14.6 29.6  0.00 0.54 1.00  0.00  0.54 5.449  0.00  0.05 0.52  20.0 0.47  221.7
2003 133  43   385.6  1.74   4.4   3.7   40.5 27.7 11.1 31.0  0.00 0.52 1.00  0.00  0.52 5.416  0.00  0.05 0.55  20.3 0.50  221.7
2003 134  44   399.6  1.80   4.6   3.9   41.3 22.5 13.9 32.3  0.00 0.55 1.00  0.00  0.55 5.505  0.00  0.05 0.46  20.6 0.42  221.7
2003 135  45   416.3  1.88   4.8   3.9   42.3 14.8 16.9 29.6  0.00 0.46 1.00  0.00  0.46 5.663  0.00  0.04 0.30  21.1 0.28  221.7
2003 136  46   434.5  1.96   5.1   4.1   43.3 20.2 20.6 33.3  0.02 0.30 1.00  0.02  0.30 5.529  0.02  0.05 0.44  21.5 0.40  221.7
2003 137  47   453.3  2.04   5.3   4.2   44.3 21.2 20.3 33.1  0.00 0.44 1.00  0.00  0.44 5.509  0.00  0.04 0.46  22.0 0.42  221.7
2003 138  48   472.8  2.13   5.6   4.3   45.3 21.1 20.0 32.3  0.30 0.46 1.00  0.30  0.46 5.514  0.30  0.34 0.45  22.4 0.41  221.7
2003 139  49   492.9  2.22   5.8   4.4   46.3 13.1 19.2 28.7  1.17 0.45 1.00  1.17  0.45 5.696  1.17  1.21 0.27  22.9 0.25  221.7
2003 140  50   513.1  2.31   6.1   4.4   47.3 12.2 18.8 26.7  0.00 0.00 1.00  0.00  0.00 5.446  0.00  0.00 0.25  23.4 0.23  221.7
2003 141  51   534.0  2.41   6.4   4.5   48.3 14.7 17.4 28.2  0.00 0.52 1.00  0.00  0.52 5.668  0.00  0.05 0.30  23.9 0.27  221.7
2003 142  52   537.1  2.42   6.4   4.5   49.3  1.9 19.5 21.9  3.93 0.30 1.00  3.93  0.30 5.931  3.93  3.96 0.04  24.0 0.03  221.7
2003 143  53   554.6  2.50   6.7   4.5   50.2 10.5 15.9 24.8  0.00 0.00 1.00  0.00  0.00 5.725  0.00  0.00 0.21  24.4 0.19  221.7
