 RUN:  data/cwarner/auto2012           
 
  YR DOY DAY Tmean    VP  TFac     Rate     PRel          CumPRel     CRF_P  PDemand    FD  AvT  AvFD    PRel2   CRF_P2     AvT2   FD2    SUB_P  RD2
2011 352  38 10.00 1.232 0.782 0.001397 0.000609  0.015546  0.420454 0.000084 331.0 16.0 285.7 0.000000 0.000000  0.0   0.0 0.090406  -99
2011 353  39 13.05 1.520 0.843 0.001665 0.000726  0.016272  0.419728 0.000134 307.2 15.9 286.2 0.000000 0.000000  0.0   0.0 0.090998  -99
2011 354  40 16.20 1.859 0.915 0.002010 0.000876  0.017149  0.418851 0.000198 283.2 15.9 286.2 0.000000 0.000000  0.0   0.0 0.091676  -99
2011 355  41 18.75 2.178 0.982 0.002375 0.001035  0.018184  0.417816 0.000254 263.8 16.0 285.6 0.000000 0.000000  0.0   0.0 0.092458  -99
2011 356  42 19.50 2.270 1.001 0.002530 0.001103  0.019287  0.416713 0.000210 258.7 16.1 285.0 0.000000 0.000000  0.0   0.0 0.093350  -99
2011 357  43 21.45 2.582 1.067 0.002941 0.001282  0.020569  0.415431 0.000302 242.7 16.2 284.0 0.000000 0.000000  0.0   0.0 0.094292  -99
2011 358  44 18.85 2.182 0.983 0.002552 0.001113  0.021682  0.414318 0.000269 263.6 16.3 283.5 0.000000 0.000000  0.0   0.0 0.095136  -99
2011 359  45 19.00 2.208 0.988 0.002640 0.001151  0.022833  0.413167 0.000292 262.1 16.3 283.1 0.000000 0.000000  0.0   0.0 0.095994  -99
2011 360  46 16.85 1.924 0.928 0.002381 0.001038  0.023871  0.412129 0.000267 279.0 16.4 283.0 0.000000 0.000000  0.0   0.0 0.096766  -99
2011 361  47 14.25 1.632 0.867 0.002121 0.000925  0.024796  0.411204 0.000243 298.8 16.3 283.3 0.000000 0.000000  0.0   0.0 0.096251  -99
2011 362  48  8.65 1.123 0.759 0.001663 0.000725  0.025521  0.410479 0.000047 341.1 16.2 284.5 0.000000 0.000000  0.0   0.0 0.096929  -99
2011 363  49 10.55 1.286 0.794 0.001854 0.000809  0.026329  0.409671 0.000145 326.3 16.0 285.4 0.000000 0.000000  0.0   0.0 0.097593  -99
2011 364  50 12.05 1.419 0.822 0.002029 0.000885  0.027214  0.408786 0.000175 315.2 16.0 286.0 0.000000 0.000000  0.0   0.0 0.098303  -99
2011 365  51 17.00 1.941 0.932 0.002660 0.001160  0.028374  0.407626 0.000251 278.0 16.0 285.8 0.000000 0.000000  0.0   0.0 0.099212  -99
2012   1  52 15.90 1.819 0.906 0.002565 0.001118  0.029492  0.406508 0.000293 285.8 16.0 285.8 0.000000 0.000000  0.0   0.0 0.100037  -99
2012   2  53 10.90 1.310 0.799 0.002032 0.000886  0.030378  0.405622 0.000185 324.2 15.9 286.5 0.000000 0.000000  0.0   0.0 0.100515  -99
2012   3  54  1.25 0.675 0.665 0.001434 0.000625  0.031003  0.404997 0.000001 389.6 15.6 288.4 0.000000 0.000000  0.0   0.0 0.101139  -99
2012   4  55  2.80 0.754 0.681 0.001534 0.000669  0.031672  0.404328 0.000001 380.1 15.4 290.1 0.000000 0.000000  0.0   0.0 0.101807  -99
2012   5  56  8.10 1.090 0.752 0.001904 0.000830  0.032502  0.403498 0.000032 344.3 15.3 291.1 0.000000 0.000000  0.0   0.0 0.102605  -99
2012   6  57 12.75 1.484 0.835 0.002390 0.001042  0.033544  0.402456 0.000217 310.0 15.2 291.4 0.000000 0.000000  0.0   0.0 0.103430  -99
2012   7  58 14.55 1.668 0.874 0.002664 0.001161  0.034705  0.401295 0.000269 296.2 15.2 291.5 0.000000 0.000000  0.0   0.0 0.104322  -99
2012   8  59 15.10 1.723 0.886 0.002781 0.001213  0.035918  0.400082 0.000256 292.4 15.2 291.5 0.000000 0.000000  0.0   0.0 0.105279  -99
2012   9  60 15.70 1.797 0.901 0.002929 0.001277  0.037195  0.398805 0.000304 287.3 15.2 291.4 0.000000 0.000000  0.0   0.0 0.106252  -99
2012  10  61 15.20 1.729 0.887 0.002885 0.001258  0.038453  0.397547 0.000255 291.9 15.2 291.4 0.000000 0.000000  0.0   0.0 0.107255  -99
2012  11  62 18.00 2.066 0.958 0.003420 0.001491  0.039944  0.396056 0.000302 270.3 15.3 291.1 0.000000 0.000000  0.0   0.0 0.108334  -99
2012  12  63 14.65 1.671 0.875 0.002897 0.001263  0.041207  0.394793 0.000274 296.0 15.3 291.2 0.000000 0.000000  0.0   0.0 0.109323  -99
2012  13  64  9.10 1.160 0.767 0.002263 0.000987  0.042194  0.393806 0.000109 337.6 15.2 291.9 0.000000 0.000000  0.0   0.0 0.110200  -99
2012  14  65  5.10 0.884 0.709 0.001963 0.000856  0.043050  0.392950 0.000001 365.3 15.0 293.0 0.000000 0.000000  0.0   0.0 0.111055  -99
