 RUN:  data/cwarner/auto2012b          
 
  YR DOY DAY     SubP  DrCm3  DrPconc   DrainP PRelease    PUptake     CumDr  CumDrP  ROcm3 RO_Pconc     Ro_P   CumRoP        THRU_P      IrP   CumIrP
2011 348  34 0.088252    0.0 0.000000 0.000000 0.000724 0.000139    762.7 0.008101    0.0 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 349  35 0.088844    0.0 0.000000 0.000000 0.000770 0.000178    762.7 0.008101    0.0 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 350  36 0.089455    0.0 0.000000 0.000000 0.000795 0.000184    762.7 0.008101   11.4 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 351  37 0.090069    0.0 0.000000 0.000000 0.000794 0.000180    762.7 0.008101    0.0 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 352  38 0.090594    0.0 0.000000 0.000000 0.000609 0.000084    762.7 0.008101    9.7 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 353  39 0.091186    0.0 0.000000 0.000000 0.000726 0.000134    762.7 0.008101    0.0 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 354  40 0.091864    0.0 0.000000 0.000000 0.000876 0.000198    762.7 0.008101   10.1 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 355  41 0.092646    0.0 0.000000 0.000000 0.001035 0.000254    762.7 0.008101    6.5 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 356  42 0.093538    0.0 0.000000 0.000000 0.001103 0.000210    762.7 0.008101    0.0 0.000000 0.000000 0.008101 0.000000 0.000000 0.000000
2011 357  43 0.094480    2.0 0.000019 0.000039 0.001282 0.000302    764.8 0.008140   12.2 0.000003 0.000039 0.008140 0.000000 0.000000 0.000000
2011 358  44 0.095323    0.0 0.000000 0.000000 0.001113 0.000269    764.8 0.008140    0.0 0.000000 0.000000 0.008140 0.000000 0.000000 0.000000
2011 359  45 0.096182    0.0 0.000000 0.000000 0.001151 0.000292    764.8 0.008140    9.5 0.000000 0.000000 0.008140 0.000000 0.000000 0.000000
