 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubP	SubP	SubP	DrCm3	DrCm3	DrCm3	DrPconc	DrPconc	DrPconc	DrainP	DrainP	DrainP	PReleas	PReleas	PReleas	PUptake	PUptake	PUptake	CumDr	CumDr	CumDr	CumDrP	CumDrP	CumDrP	ROcm3	ROcm3	ROcm3	RO_Pcon	RO_Pcon	RO_Pcon	Ro_P	Ro_P	Ro_P	CumRoP	CumRoP	CumRoP	THRU_P	THRU_P	THRU_P	IrP	IrP	IrP	CumIrP	CumIrP	CumIrP
328	14	1	0.08353	0.08353	0.08353	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00028	0.00028	0.00028	0.00009	0.00009	9.E-5	498.7	498.7	498.7	0.00497	0.00497	0.00497	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00497	0.00497	0.00497	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
329	15	1	0.08375	0.08375	0.08375	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00033	0.00033	0.00033	0.00011	0.00011	0.00011	498.7	498.7	498.7	0.00497	0.00497	0.00497	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00497	0.00497	0.00497	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
330	16	1	0.08402	0.08402	0.08402	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00039	0.00039	0.00039	0.00012	0.00012	0.00012	498.7	498.7	498.7	0.00497	0.00497	0.00497	10.3	10.3	10.3	0.00000	0.00000	0	0.00000	0.00000	0	0.00497	0.00497	0.00497	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
331	17	1	0.08435	0.08435	0.08435	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00046	0.00046	0.00046	0.00013	0.00013	0.00013	498.7	498.7	498.7	0.00497	0.00497	0.00497	6.3	6.3	6.3	0.00000	0.00000	0	0.00000	0.00000	0	0.00497	0.00497	0.00497	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
332	18	1	0.08411	0.08411	0.08411	32.2	32.2	32.2	0.00001	0.00001	1.E-5	0.00051	0.00051	0.00051	0.00041	0.00041	0.00041	0.00013	0.00013	0.00013	530.9	530.9	530.9	0.00549	0.00549	0.00549	46.1	46.1	46.1	0.00001	0.00001	1.E-5	0.00051	0.00051	0.00051	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
333	19	1	0.08438	0.08438	0.08438	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00032	0.00032	0.00032	0.00005	0.00005	5.E-5	530.9	530.9	530.9	0.00549	0.00549	0.00549	0.4	0.4	0.4	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
334	20	1	0.08465	0.08465	0.08465	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00029	0.00029	0.00029	0.00001	0.00001	1.E-5	530.9	530.9	530.9	0.00549	0.00549	0.00549	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
335	21	1	0.08494	0.08494	0.08494	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00032	0.00032	0.00032	0.00003	0.00003	3.E-5	530.9	530.9	530.9	0.00549	0.00549	0.00549	7.8	7.8	7.8	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
336	22	1	0.08525	0.08525	0.08525	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00039	0.00039	0.00039	0.00009	0.00009	9.E-5	530.9	530.9	530.9	0.00549	0.00549	0.00549	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
337	23	1	0.08559	0.08559	0.08559	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00046	0.00046	0.00046	0.00011	0.00011	0.00011	530.9	530.9	530.9	0.00549	0.00549	0.00549	11.3	11.3	11.3	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
