 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	Tmean	Tmean	Tmean	VP	VP	VP	TFac	TFac	TFac	Rate	Rate	Rate	PRel	PRel	PRel	CumPRel	CumPRel	CumPRel	CRF_P	CRF_P	CRF_P	PDemand	PDemand	PDemand	FD	FD	FD	AvT	AvT	AvT	AvFD	AvFD	AvFD	PRel2	PRel2	PRel2	CRF_P2	CRF_P2	CRF_P2	AvT2	AvT2	AvT2	FD2	FD2	FD2	SUB_P	SUB_P	SUB_P	RD2	RD2	RD2
327	13	1	19.15	19.15	19.15	2.228	2.228	2.228	0.992	0.992	0.992	0.00076	0.00076	0.00076	0.00033	0.00033	0.00033	0.00233	0.00233	0.00233	0.43366	0.43366	0.43366	0.00011	0.00011	0.00011	261.0	261.0	261	18.6	18.6	18.6	266.0	266.0	266	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08334	0.08334	0.08334	-99	-99	-99
328	14	1	15.00	15.00	15	1.710	1.710	1.71	0.883	0.883	0.883	0.00065	0.00065	0.00065	0.00028	0.00028	0.00028	0.00261	0.00261	0.00261	0.43338	0.43338	0.43338	0.00009	0.00009	9.E-5	293.2	293.2	293.2	18.3	18.3	18.3	267.9	267.9	267.9	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08353	0.08353	0.08353	-99	-99	-99
329	15	1	16.40	16.40	16.4	1.890	1.890	1.89	0.921	0.921	0.921	0.00076	0.00076	0.00076	0.00033	0.00033	0.00033	0.00295	0.00295	0.00295	0.43304	0.43304	0.43304	0.00011	0.00011	0.00011	281.2	281.2	281.2	18.2	18.2	18.2	268.8	268.8	268.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08375	0.08375	0.08375	-99	-99	-99
330	16	1	18.55	18.55	18.55	2.151	2.151	2.151	0.976	0.976	0.976	0.00091	0.00091	0.00091	0.00039	0.00039	0.00039	0.00335	0.00335	0.00335	0.43265	0.43265	0.43265	0.00012	0.00012	0.00012	265.4	265.4	265.4	18.2	18.2	18.2	268.6	268.6	268.6	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08402	0.08402	0.08402	-99	-99	-99
331	17	1	19.90	19.90	19.9	2.351	2.351	2.351	1.018	1.018	1.018	0.00105	0.00105	0.00105	0.00046	0.00046	0.00046	0.00381	0.00381	0.00381	0.43218	0.43218	0.43218	0.00013	0.00013	0.00013	254.3	254.3	254.3	18.3	18.3	18.3	267.8	267.8	267.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08435	0.08435	0.08435	-99	-99	-99
332	18	1	17.00	17.00	17	1.957	1.957	1.957	0.935	0.935	0.935	0.00094	0.00094	0.00094	0.00041	0.00041	0.00041	0.00422	0.00422	0.00422	0.43177	0.43177	0.43177	0.00013	0.00013	0.00013	277.0	277.0	277	18.3	18.3	18.3	268.3	268.3	268.3	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08411	0.08411	0.08411	-99	-99	-99
333	19	1	11.35	11.35	11.35	1.344	1.344	1.344	0.806	0.806	0.806	0.00074	0.00074	0.00074	0.00032	0.00032	0.00032	0.00454	0.00454	0.00454	0.43145	0.43145	0.43145	0.00005	0.00005	5.E-5	321.4	321.4	321.4	17.9	17.9	17.9	271.1	271.1	271.1	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08438	0.08438	0.08438	-99	-99	-99
334	20	1	7.90	7.90	7.9	1.076	1.076	1.076	0.749	0.749	0.749	0.00067	0.00067	0.00067	0.00029	0.00029	0.00029	0.00484	0.00484	0.00484	0.43115	0.43115	0.43115	0.00001	0.00001	1.E-5	345.6	345.6	345.6	17.4	17.4	17.4	274.8	274.8	274.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08465	0.08465	0.08465	-99	-99	-99
335	21	1	9.05	9.05	9.05	1.166	1.166	1.166	0.768	0.768	0.768	0.00074	0.00074	0.00074	0.00032	0.00032	0.00032	0.00516	0.00516	0.00516	0.43083	0.43083	0.43083	0.00003	0.00003	3.E-5	337.1	337.1	337.1	17.0	17.0	17	277.8	277.8	277.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08494	0.08494	0.08494	-99	-99	-99
336	22	1	12.40	12.40	12.4	1.458	1.458	1.458	0.830	0.830	0.83	0.00091	0.00091	0.00091	0.00039	0.00039	0.00039	0.00556	0.00556	0.00556	0.43043	0.43043	0.43043	0.00009	0.00009	9.E-5	312.0	312.0	312	16.8	16.8	16.8	279.3	279.3	279.3	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08525	0.08525	0.08525	-99	-99	-99
