 Run: data/cwarner/testloc2           
 
 CRF_N  CRF_DAYS
 2.97   244
 
  YR DOY DAY Tmean    VP  TFac     Rate     NRel    CumNRel    CRF_N  NDemand   NFD  AvT AvNFD    NRel2   CRF_N2 AvT2  NFD2    SUB_N  RD2
2003  91   1 11.20 1.368 0.811 0.000000 0.000000  0.000000  2.966250 0.008428 300.8 11.6 300.8 0.000000 0.000000  0.0   0.0 0.592283  -99
2003  92   2 15.15 1.769 0.896 0.000109 0.000322  0.000322  2.965928 0.007642 272.5 13.6 286.6 0.000000 0.000000  0.0   0.0 0.591636  -99
2003  93   3 17.75 2.073 0.960 0.000187 0.000555  0.000877  2.965373 0.006933 254.3 15.1 275.9 0.000000 0.000000  0.0   0.0 0.591208  -99
2003  94   4 21.75 2.665 1.085 0.000319 0.000945  0.001821  2.964428 0.006335 225.0 16.8 263.1 0.000000 0.000000  0.0   0.0 0.591142  -99
2003  95   5 22.55 2.805 1.114 0.000420 0.001246  0.003068  2.963182 0.005799 219.0 18.1 254.3 0.000000 0.000000  0.0   0.0 0.591336  -99
2003  96   6 24.05 3.035 1.162 0.000549 0.001628  0.004696  2.961554 0.005346 209.9 19.1 246.9 0.000000 0.000000  0.0   0.0 0.591850  -99
2003  97   7 27.25 3.682 1.299 0.000799 0.002371  0.007067  2.959183 0.004984 187.8 20.3 238.5 0.000000 0.000000  0.0   0.0 0.593022  -99
2003  98   8 26.50 3.501 1.261 0.000861 0.002554  0.009621  2.956629 0.004697 193.5 21.1 232.8 0.000000 0.000000  0.0   0.0 0.591859  -99
2003  99   9 23.15 2.864 1.126 0.000773 0.002293  0.011914  2.954336 0.004464 216.6 21.4 231.0 0.000000 0.000000  0.0   0.0 0.573966  -99
2003 100  10 15.15 1.741 0.890 0.000536 0.001589  0.013504  2.952746 0.004131 274.2 20.7 235.4 0.000000 0.000000  0.0   0.0 0.573023  -99
2003 101  11 14.80 1.717 0.885 0.000583 0.001729  0.015232  2.951018 0.003671 275.8 20.2 239.0 0.000000 0.000000  0.0   0.0 0.572996  -99
2003 102  12 19.35 2.309 1.009 0.000828 0.002455  0.017687  2.948563 0.003223 241.7 20.2 239.3 0.000000 0.000000  0.0   0.0 0.573511  -99
2003 103  13 20.85 2.534 1.057 0.000983 0.002916  0.020603  2.945647 0.002684 230.8 20.3 238.6 0.000000 0.000000  0.0   0.0 0.574290  -99
2003 104  14 21.00 2.549 1.060 0.001065 0.003159  0.023762  2.942488 0.001971 230.2 20.4 238.0 0.000000 0.000000  0.0   0.0 0.574527  -99
2003 105  15 21.25 2.573 1.065 0.001152 0.003417  0.027179  2.939070 0.001567 229.1 20.4 237.4 0.000000 0.000000  0.0   0.0 0.576377  -99
2003 106  16 21.55 2.604 1.072 0.001244 0.003689  0.030869  2.935381 0.001638 227.7 20.5 236.8 0.000000 0.000000  0.0   0.0 0.574306  -99
2003 107  17 22.65 2.823 1.118 0.001438 0.004266  0.035135  2.931115 0.001754 218.3 20.7 235.7 0.000000 0.000000  0.0   0.0 0.551830  -99
2003 108  18 23.75 3.013 1.158 0.001634 0.004846  0.039981  2.926269 0.001937 210.7 20.9 234.3 0.000000 0.000000  0.0   0.0 0.554739  -99
2003 109  19 22.50 2.745 1.101 0.001560 0.004629  0.044610  2.921640 0.001851 221.5 21.0 233.7 0.000000 0.000000  0.0   0.0 0.557516  -99
2003 110  20 23.15 2.870 1.128 0.001722 0.005107  0.049716  2.916534 0.002109 216.4 21.1 232.8 0.000000 0.000000  0.0   0.0 0.560514  -99
2003 111  21 22.55 2.767 1.106 0.001739 0.005158  0.054875  2.911375 0.002237 220.6 21.2 232.2 0.000000 0.000000  0.0   0.0 0.563435  -99
2003 112  22 24.20 3.065 1.169 0.002035 0.006036  0.060911  2.905339 0.002479 208.7 21.3 231.1 0.000000 0.000000  0.0   0.0 0.566993  -99
2003 113  23 20.60 2.458 1.041 0.001687 0.005003  0.065914  2.900336 0.002371 234.4 21.3 231.3 0.000000 0.000000  0.0   0.0 0.569626  -99
2003 114  24 20.60 2.456 1.040 0.001759 0.005217  0.071131  2.895119 0.002372 234.5 21.3 231.4 0.000000 0.000000  0.0   0.0 0.572471  -99
2003 115  25 24.35 3.064 1.169 0.002311 0.006856  0.077987  2.888263 0.002629 208.8 21.4 230.5 0.000000 0.000000  0.0   0.0 0.548024  -99
2003 116  26 23.15 2.865 1.127 0.002235 0.006629  0.084615  2.881635 0.003058 216.5 21.5 230.0 0.000000 0.000000  0.0   0.0 0.523428  -99
2003 117  27 22.20 2.738 1.100 0.002211 0.006559  0.091174  2.875076 0.003032 221.8 21.5 229.7 0.000000 0.000000  0.0   0.0 0.526955  -99
2003 118  28 23.65 2.958 1.146 0.002491 0.007388  0.098561  2.867688 0.003314 212.9 21.6 229.1 0.000000 0.000000  0.0   0.0 0.531028  -99
2003 119  29 24.30 3.066 1.169 0.002683 0.007958  0.106519  2.859731 0.003564 208.7 21.7 228.4 0.000000 0.000000  0.0   0.0 0.534543  -99
2003 120  30 24.55 3.088 1.174 0.002798 0.008298  0.114818  2.851432 0.003079 207.9 21.8 227.7 0.000000 0.000000  0.0   0.0 0.517942  -99
2003 121  31 23.80 2.955 1.146 0.002755 0.008172  0.122989  2.843261 0.003420 212.9 21.9 227.2 0.000000 0.000000  0.0   0.0 0.517470  -99
2003 122  32 25.90 3.396 1.239 0.003324 0.009860  0.132849  2.833401 0.004206 197.0 22.0 226.3 0.000000 0.000000  0.0   0.0 0.523124  -99
2003 123  33 25.05 3.226 1.203 0.003232 0.009587  0.142436  2.823814 0.004451 202.9 22.1 225.6 0.000000 0.000000  0.0   0.0 0.528260  -99
2003 124  34 25.50 3.315 1.222 0.003435 0.010188  0.152624  2.813626 0.004682 199.7 22.2 224.8 0.000000 0.000000  0.0   0.0 0.533765  -99
2003 125  35 26.65 3.526 1.266 0.003799 0.011268  0.163891  2.802359 0.004920 192.7 22.3 223.9 0.000000 0.000000  0.0   0.0 0.540113  -99
2003 126  36 28.75 3.990 1.364 0.004533 0.013446  0.177337  2.788913 0.004713 178.9 22.5 222.6 0.000000 0.000000  0.0   0.0 0.548846  -99
2003 127  37 28.60 3.963 1.358 0.004621 0.013707  0.191044  2.775206 0.005187 179.6 22.7 221.5 0.000000 0.000000  0.0   0.0 0.557365  -99
2003 128  38 27.45 3.709 1.305 0.004378 0.012987  0.204031  2.762219 0.005667 187.0 22.8 220.6 0.000000 0.000000  0.0   0.0 0.564685  -99
2003 129  39 27.95 3.814 1.327 0.004649 0.013789  0.217820  2.748430 0.005435 183.9 22.9 219.6 0.000000 0.000000  0.0   0.0 0.573039  -99
2003 130  40 28.50 3.936 1.353 0.004954 0.014695  0.232514  2.733736 0.005372 180.4 23.1 218.6 0.000000 0.000000  0.0   0.0 0.582361  -99
2003 131  41 28.50 3.935 1.352 0.005077 0.015059  0.247573  2.718677 0.005912 180.4 23.2 217.7 0.000000 0.000000  0.0   0.0 0.591509  -99
2003 132  42 28.80 3.992 1.364 0.005293 0.015699  0.263273  2.702977 0.006495 178.8 23.4 216.8 0.000000 0.000000  0.0   0.0 0.600713  -99
2003 133  43 25.70 3.339 1.227 0.004381 0.012994  0.276266  2.689984 0.007032 198.9 23.4 216.4 0.000000 0.000000  0.0   0.0 0.606674  -99
2003 134  44 26.15 3.415 1.243 0.004600 0.013645  0.289911  2.676339 0.007273 196.3 23.5 215.9 0.000000 0.000000  0.0   0.0 0.613046  -99
2003 135  45 26.00 3.378 1.235 0.004645 0.013777  0.303688  2.662562 0.007622 197.6 23.5 215.5 0.000000 0.000000  0.0   0.0 0.619201  -99
2003 136  46 26.90 3.570 1.275 0.005065 0.015024  0.318713  2.647537 0.007742 191.3 23.6 215.0 0.000000 0.000000  0.0   0.0 0.626483  -99
2003 137  47 28.60 3.942 1.354 0.005831 0.017296  0.336008  2.630242 0.006617 180.2 23.7 214.2 0.000000 0.000000  0.0   0.0 0.637162  -99
